"BIOLOGICAL SYSTEMS ENGINEESection","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","",""
"1","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cooperative Educ Program","Course Total","","4","***","","","","","","","","","","","","","","","",""
"201
Land Surveying Fundamentals","001","","34","3.221","23.5","41.2","8.8","8.8","17.6",".",".",".",".",".",".",".",".",".",".","."
"249
Engr Principles-Biol Systms","001","","69","3.094","21.7","11.6","47.8","7.2","8.7","2.9",".",".",".",".",".",".",".",".",".","."
"270
Intro to Computer Aided Design","001","","47","3.587","51.1","25.5","12.8","4.3","4.3",".",".",".",".",".",".",".",".",".","2.1","."
"299
Independent Study","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"367
Renewable Energy Systems","001","","63","3.333","31.7","25.4","25.4","12.7","4.8",".",".",".",".",".",".",".",".",".",".","."
"372
On-Site Waste Water Treatment","001","","32","3.047","9.4","25.0","37.5","21.9","6.3",".",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"460
Biorefining: Energy & Products","001","","12","3.458","25.0","50.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"461
Food&Bioprocessing Operations","001","","19","3.361","15.8","42.1","31.6","5.3",".",".",".",".",".",".",".",".","5.3",".",".","."
"473
Irrigatn&Drainage Sys Dsgn","001","","35","3.429","37.1","31.4","17.1","8.6","5.7",".",".",".",".",".",".",".",".",".",".","."
"475
Engr Principles-Ag Machinery","001","","24","2.896","8.3","12.5","45.8","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"491
Legal Aspects-Engineering","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"509
Biol Sys Eng Dsgn Practicum II","001","","63","3.390","23.8","11.1","23.8","4.8","1.6",".",".",".",".",".",".",".","34.9",".",".","."
"517
Biology in Engineering Seminar","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","3","***","","","","","","","","","","","","","","","",""
"900
Seminar","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","26","",".",".",".",".",".",".",".","15.4",".",".",".","84.6",".",".",".","."
