"EDU","","","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIONSection","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","","",""
"CURRIC
Dept. Total
272","1993","3.926","68.8","6.2","1.6","0.3","0.2","0.1","",".","3.8","",".","15.1","",".","1.3","2.0","0.2","0.3","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","36","3.688","63.9","22.2","8.3","5.6",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","58","3.929","82.8","13.8","1.7",".",".",".","",".",".","",".","1.7","",".",".",".",".",".","."
"Junior","398","3.939","74.4","8.8","0.8",".",".",".","",".",".","",".","15.1","",".",".","0.5","0.5",".","."
"Senior","872","3.909","70.1","6.0","2.3","0.3","0.5","0.1","",".",".","",".","19.8","",".",".","0.5","0.2",".","."
"Undergraduates","1364","3.913","71.7","7.6","2.0","0.4","0.3","0.1","",".",".","",".","17.2","",".",".","0.4","0.3",".","."
"Special","33","3.981","90.9","3.0",".",".",".",".","",".",".","",".",".","",".",".","6.1",".",".","."
"Graduate","596","3.960","61.1","3.4","0.7",".",".","0.2","",".","12.8","",".","11.2","",".","4.4","5.4",".","0.8","."
"Dept. Total","1993","3.926","68.8","6.2","1.6","0.3","0.2","0.1","",".","3.8","",".","15.1","",".","1.3","2.0","0.2","0.3","."
