"PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"517","003","","29","3.172","37.9","13.8","24.1","13.8","3.4","3.4","3.4",".",".",".",".",".",".",".",".","."
"Intro to Clinical Psych","Course Total","","82","3.482","50.0","19.5","18.3","8.5","1.2","1.2","1.2",".",".",".",".",".",".",".",".","."
"524
Neurobi II:Intr-Brain&Behav","001","","11","3.227","36.4","9.1","45.5",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"530
Intro-Social Psychology","001","","40","3.362","22.5","37.5","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"587
Honors-Psych of Personality","001","","17","3.706","52.9","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"611
Systems Neuroscience","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"618","001","","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","002","","7","3.500","57.1",".","14.3",".","14.3",".",".",".",".",".",".",".","14.3",".",".","."
"618","004","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","005","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","006","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Topics","Course Total","","91","3.956","95.6",".","2.2",".","1.1",".",".",".",".",".",".",".","1.1",".",".","."
"682","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"682","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"686
Honors Seminar in Psych","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"691","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"692","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"692","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Thesis","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"693
Animal Behavior Problems","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"694","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"694","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"694","016","","66","3.988","95.5","3.0",".",".",".",".",".",".",".",".",".",".","1.5",".",".","."
"694","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"694","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"694","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Probs-Developmental Psych","Course Total","","74","3.990","95.9","2.7",".",".",".",".",".",".",".",".",".",".","1.4",".",".","."
"695","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 280 of 385",""
