"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"227
Propagation of Hort Plants","001","","49","2.904","24.5","14.3","20.4","16.3","10.2","8.2","2.0","4.1",".",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"320
Environment of Hort Plants","001","","38","2.829","23.7","7.9","31.6","5.3","23.7","5.3","2.6",".",".",".",".",".",".",".",".","."
"326
Plant Nutrition Management","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"334
Greenhse Prod-Ornamntl Plnt","001","","24","2.542","12.5","12.5","25.0","12.5","25.0","4.2","8.3",".",".",".",".",".",".",".",".","."
"335
Greenhse-Ornamntl Plant Lab","001","","19","3.579","89.5",".",".",".",".",".","10.5",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"410
Undergraduate Seminar","001","","22","3.795","59.1","40.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"500
Molecular Biology Techniques","002","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
Principles-Plant Breeding","001","","15","3.269","20.0","33.3","13.3","13.3","6.7",".",".","13.3",".",".",".",".",".",".",".","."
"502
Techniques-Plant Breeding","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"561
Introductory Cytogenetics","001","","11","3.586","45.5","18.2","27.3",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"572
Stat Meth for Bioscience II","001","","11","3.273","9.1","36.4","54.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","12","3.588","75.0","8.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"799
Pract-Horticulture Teaching","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910
Seminar","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","6","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
