"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"Contemp Iss-Engr Profession","101
001","49","3.612","49.0","36.7","12.2",".",".",".","2.0",".",".",".",".",".",".",".",".","."
"","151
001","21","3.857","85.7","4.8","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","002
151","14","4.000","92.9",".",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Technical Info Resources","Course Total","35","3.912","88.6","2.9","2.9","2.9",".",".",".","2.9",".",".",".",".",".",".",".","."
"","155
001","19","3.342","26.3","52.6","10.5","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"","155
002","12","3.500","41.7","16.7","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
003","19","3.605","52.6","31.6","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","155
004","18","3.250","44.4","11.1","27.8","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","155
005","16","2.938","18.8","18.8","12.5","31.3","18.8",".",".",".",".",".",".",".",".",".",".","."
"","006
155","16","3.344","6.3","62.5","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","155
007","20","3.550","35.0","40.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
008","20","3.500","35.0","35.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","155
009","20","3.475","35.0","40.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","155
010","20","3.175","15.0","25.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","155
011","21","3.500","38.1","52.4","4.8",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","155
012","18","2.944","16.7","16.7","27.8","27.8","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","155
013","15","3.500","60.0","20.0","13.3",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","234","3.359","32.5","33.3","20.5","8.5","3.0","0.4","1.7",".",".",".",".",".",".",".",".","."
"Freshman Independent Study","199
042","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teams & Engr Profession","265
001","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
001","20","3.850","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
003","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","52","3.846","71.2","26.9","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
002","6","3.875","50.0","16.7",".",".",".",".",".","16.7",".",".",".",".",".","16.7",".","."
"","375
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Tech Japanese II","Course Total","14","3.792","57.1","21.4","7.1",".",".",".",".","7.1",".",".",".",".",".","7.1",".","."
"User Manuals/Software Docmt","392
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","397
001","163","3.642","47.2","39.3","10.4","1.2","0.6",".","0.6",".",".",".",".",".",".",".","0.6","."
"Tech Communications Intrshp","398
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Prob Solving with Comptrs","470
001","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Editing","497
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","499
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
044","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Independent Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"","530
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","530
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","530
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Technical Japanese Smr","Course Total","5","***","","","","","","","","","","","","","","","",""
"Tech&Professnl Communicatn","597
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intl Engr Strategies&Operatns","613
001","31","3.903","80.6","19.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 126 of 385",""
