"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","73","3.322","21.9","46.6","17.8","9.6","1.4","1.4","1.4",".",".",".",".",".",".",".",".","."
"","301
002","103","3.714","63.1","27.2","4.9","2.9","1.0",".","1.0",".",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","176","3.551","46.0","35.2","10.2","5.7","1.1","0.6","1.1",".",".",".",".",".",".",".",".","."
"","001
320","202","3.713","62.9","25.2","7.9","2.5","0.5","0.5","0.5",".",".",".",".",".",".",".",".","."
"","002
320","90","3.286","28.9","23.3","24.4","17.8","2.2","2.2",".","1.1",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","Course Total","292","3.590","52.4","24.7","13.0","7.2","1.0","1.0","0.3","0.3",".",".",".",".",".",".",".","."
"Human Develop-Adolescence","321
001","198","3.854","82.3","6.1","8.1","1.5","0.5",".",".","1.0",".",".",".",".",".",".",".","0.5"
"Adolscnt Develp-Educ Contxt","521
001","72","3.944","90.3","8.3","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","2","***","","","","","","","","","","","","","","","",""
"The Study of Teaching","708
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Research in Ed Psyc II","710
001","10","3.944","80.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","711
001","17","3.867","64.7","23.5",".",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"","711
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","33","3.929","81.8","12.1",".",".",".",".",".","6.1",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Assessment Tech-Schools I","740
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lrng&Lang Disability-Chldrn","742
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
001","44","3.345","29.5","22.7","38.6","2.3",".",".","2.3","2.3",".",".",".",".","2.3",".",".","."
"","761
002","20","3.579","40.0","30.0","25.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Stat Meth-Applied to Ed II","Course Total","64","3.418","32.8","25.0","34.4","1.6",".",".","1.6","1.6",".",".",".",".","3.1",".",".","."
"Test Construction","771
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Scaling, Factr&Cluster Anal","001
773","39","3.861","69.2","20.5","2.6",".",".",".",".","2.6",".",".",".",".","5.1",".",".","."
"Cognition&Classrm Learng II","796
001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multivariate Analysis","001
862","19","3.778","57.9","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","5.3"
"Seminar-Child Development","920
001","14","3.657","35.7","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Adolescent Development","921
001","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Sysms-Consltn in Schl Psych","942
001","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Internshp-School Psychology","943
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Evaluation Research","945
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr in School Psychology","948
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
014","7","",".",".",".",".",".",".",".","85.7",".",".",".","14.3",".",".",".","."
"","990
016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 95 of 385"
