"","067
999","6","4.000","83.3",".",".",".",".",".",".",".",".","",".",".","",".","16.7",".",".","."
"","999
076","4","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
080","5","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
097","4","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Study","Course Total","79","3.940","87.3","7.6","1.3",".",".",".",".",".","",".",".","",".",".","2.5","1.3",".","."
"ART
168","Dept. Total","2137","3.647","58.4","23.4","11.0","2.6","1.8","0.3","0.5","0.6","",".",".","",".","0.2","0.4","0.7","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","167","3.406","34.1","32.9","22.8","5.4","2.4","0.6","0.6",".","",".",".","",".",".",".","1.2",".","."
"Sophomore","","403","3.517","41.7","34.2","16.1","3.5","2.2","0.7","0.5","0.2","",".",".","",".",".","0.2","0.5",".","."
"Junior","","449","3.570","49.2","27.6","14.0","4.0","2.4","0.2","0.7","0.7","",".",".","",".",".",".","0.9",".","0.2"
"Senior","","717","3.693","64.0","20.5","8.8","2.1","2.0","0.1","0.7","1.0","",".",".","",".",".","0.1","0.6",".","0.1"
"Undergraduates","","1736","3.592","52.1","26.7","13.2","3.2","2.2","0.3","0.6","0.6","",".",".","",".",".","0.1","0.7",".","0.1"
"Special","","50","3.878","72.0","14.0","4.0",".",".",".",".","2.0","",".",".","",".",".","2.0",".","6.0","."
"Graduate","","351","3.938","87.2","8.0","1.1",".","0.3",".",".","0.3","",".",".","",".","1.1","1.4","0.6",".","."
"","Dept. Total","2137","3.647","58.4","23.4","11.0","2.6","1.8","0.3","0.5","0.6","",".",".","",".","0.2","0.4","0.7","0.1","0.1"
