"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"","267
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
004","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
006","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","37","4.000","97.3",".",".",".",".",".",".",".",".",".",".",".",".",".","2.7","."
"","268
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","268
003","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
007","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-String","Course Total","58","4.000","98.3",".",".",".",".",".",".",".",".",".",".",".",".",".","1.7","."
"Ensemble-Guitar","270
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","272
101","15","3.100","20.0","20.0","33.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"","272
102","13","3.231","15.4","23.1","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","272
103","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","272
104","13","3.577","53.8","15.4","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 4","Course Total","50","3.370","34.0","22.0","32.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Contemp Chamber Ensemble","273
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Black Music(1920-Pres): Sax","311
001","56","3.750","69.6","14.3","14.3",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"Gender and Music","317
001","41","3.122","12.2","29.3","31.7","12.2","2.4",".","2.4","7.3",".",".",".",".",".",".","2.4","."
"Jazz Improvisation","332
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","340
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","004
340","17","3.706","88.2",".","5.9",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"Pedagogy","Course Total","19","3.684","84.2",".","10.5",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Practicum-String Pedagogy","345
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Repertoire","Course Total","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Non-Western Music Performnc","Course Total","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Piano Technology","371
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","40
001","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","40
002","51","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wind Ensemble","Course Total","96","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musical Cultures-World","402
001","8","3.500","37.5","25.0","12.5","12.5",".",".",".","12.5",".",".",".",".",".",".",".","."
"","41
001","101","3.995","99.0","1.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 256 of 385",""
