"LITERATURE IN TRANSLATION","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran II","202
001","49","3.646","51.0","38.8","4.1","2.0",".",".","2.0",".",".",".",".",".",".",".",".","2.0"
"19&20 C Russian Lit Tran II","204
001","63","3.357","52.4","19.0","12.7","1.6","7.9","1.6","4.8",".",".",".",".",".",".",".",".","."
"Chekhov in Translation","220
001","15","3.714","73.3","6.7",".","6.7","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"Dostoevsky in Translation","222
001","23","3.239","43.5","21.7","17.4","8.7",".",".","8.7",".",".",".",".",".",".",".",".","."
"The Jew in Russ Lit in Tran","225
001","8","3.643","50.0","12.5","25.0",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"Soviet Life&Cult (1917 on)","234
001","33","3.804","81.8","6.1","9.1",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Polish Culture&Lit(in Tran)","242
001","28","3.143","25.0","14.3","32.1","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"Lt Trn:Fr Wom Writers Today","251
001","18","3.765","55.6","33.3","5.6",".",".",".",".",".",".",".",".",".",".","5.6",".","."
"Lit Tran: Modern Italy","254
001","45","3.432","46.7","26.7","13.3","4.4","2.2",".","4.4",".",".",".",".",".",".","2.2",".","."
"Survey-Chinese Lit in Trans","262
001","40","3.158","27.5","30.0","20.0","10.0",".",".","7.5","2.5",".",".",".",".",".","2.5",".","."
"Survey-Japanese Lit in Tran","001
264","29","2.946","10.3","34.5","27.6","10.3","6.9",".","6.9","3.4",".",".",".",".",".",".",".","."
"Urdu Prose Fic-Ind&Pak/Tran","273
001","9","3.167","22.2","33.3","22.2",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"Scand Lit in Tran-20th C","274
001","205","3.401","22.9","43.4","20.5","7.8","4.4",".",".","0.5",".",".",".",".",".","0.5",".","."
"","275
001","96","3.265","19.8","38.5","27.1","8.3","4.2","2.1",".",".",".",".",".",".",".",".",".","."
"","002
275","238","3.253","20.2","39.1","21.8","7.6","3.8","2.1","1.3","3.4",".",".",".",".","0.8",".",".","."
"In Transl:Hans C. Andersen","Course Total","334","3.257","20.1","38.9","23.4","7.8","3.9","2.1","0.9","2.4",".",".",".",".","0.6",".",".","."
"Yiddish Lit-US (in Transl)","279
001","15","3.231",".","40.0","46.7",".",".",".",".","6.7",".",".",".",".",".","6.7",".","."
"Topics in Dutch Lit in Tran","326
001","7","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Rabbinic Lit in Tran","328
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"SE Asian Lit in Translation","330
001","22","3.357","22.7","22.7","50.0",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Prophets of the Bible","332
001","12","3.542","50.0","8.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit in Transl-Henrik Ibsen","335
001","10","3.250","10.0","60.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Topics in Japanese Lit","373
001","24","3.152","12.5","37.5","37.5",".","4.2",".","4.2","4.2",".",".",".",".",".",".",".","."
"Mod Indonesian Lit in Tran","379
001","8","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Polish Lit(Tran) since 1863","001
473","12","3.333","58.3",".","8.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"LITTRANS
551","Dept. Total","1013","3.345","30.1","33.1","21.4","6.6","3.9","0.8","1.7","1.4",".",".",".",".","0.3","0.6",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","217","3.288","23.5","40.6","18.9","9.2","4.1","1.4","1.8",".",".",".",".",".","0.5",".",".","."
"Sophomore","","331","3.380","29.3","37.8","21.1","6.3","2.4","0.6","1.5",".",".",".",".",".","0.3","0.3",".","0.3"
"Junior","","181","3.388","35.9","28.7","23.2","4.4","4.4","0.6","1.7","0.6",".",".",".",".","0.6",".",".","."
"Senior","","283","3.317","32.2","24.7","22.6","6.4","5.3","0.7","1.8","4.6",".",".",".",".",".","1.8",".","."
"Undergraduates","","1012","3.344","30.0","33.1","21.4","6.6","4.0","0.8","1.7","1.4",".",".",".",".","0.3","0.6",".","0.1"
"Graduate","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","1013","3.345","30.1","33.1","21.4","6.6","3.9","0.8","1.7","1.4",".",".",".",".","0.3","0.6",".","0.1"
