"BUS","","","","","","","","","","","","","","","","","","","","","",""
"RISK MANAGEMENT AND INSUR Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","","","",""
"300
001
Principles-Risk Management","231","3.044","29.0","9.5","34.6","6.1","12.6","5.6","0.9","1.3",".","",".",".","",".","",".","","0.4",".","."
"615
001
Liability Risk Management","40","3.313","30.0","17.5","42.5","5.0","5.0",".",".",".",".","",".",".","",".","",".","",".",".","."
"620
001
Employee Benefits Managemnt","37","3.743","59.5","29.7","10.8",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"625
001
Government Insurance Progs","25","3.100","24.0","8.0","48.0","4.0","16.0",".",".",".",".","",".",".","",".","",".","",".",".","."
"710
001
Risk Management","12","3.364","16.7","33.3","41.7",".",".",".",".","8.3",".","",".",".","",".","",".","",".",".","."
"799
017","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"799
039","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Course Total
Rdg & Rsch-Risk Management","3","***","","","","","","","","","","","","","","","","","","","",""
"990
039
PhD Thesis-Risk&Insurance","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"R M I
Dept. Total
241","350","3.168","31.7","13.4","33.7","4.9","10.0","3.7","0.6","1.7","",".",".","",".","",".","",".","0.3",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","33","3.212","36.4","6.1","39.4","6.1","9.1","3.0",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","118","2.979","26.3","10.2","35.6","5.9","13.6","5.9","1.7",".","",".",".","",".","",".","",".","0.8",".","."
"Senior","164","3.255","33.5","15.9","32.3","4.9","9.1","2.4",".","1.8","",".",".","",".","",".","",".",".",".","."
"Undergraduates","315","3.146","31.1","12.7","34.3","5.4","10.8","3.8","0.6","1.0","",".",".","",".","",".","",".","0.3",".","."
"Special","6","2.471",".",".","66.7",".","16.7","16.7",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","29","3.659","44.8","24.1","20.7",".",".",".",".","10.3","",".",".","",".","",".","",".",".",".","."
"Dept. Total","350","3.168","31.7","13.4","33.7","4.9","10.0","3.7","0.6","1.7","",".",".","",".","",".","",".","0.3",".","."
