"COUNSELING PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","","",""
"","105
001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
002","","16","4.000","87.5",".",".",".",".",".",".","6.3",".",".",".",".",".","6.3",".","."
"","105
004","","22","3.682","50.0","36.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
011","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
012","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
013","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","","76","3.899","81.6","11.8","3.9",".",".",".",".","1.3",".",".",".",".",".","1.3",".","."
"Human Dev:Career Strategies","110
001","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
002","","15","3.867","86.7",".","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
004","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
005","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
006","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
007","","8","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"","115
008","","8","3.625","62.5",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
009","","8","3.714","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"","115
010","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
021","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","","94","3.882","80.9","5.3","8.5",".",".",".",".",".",".",".",".",".","1.1","3.2",".","1.1"
"Theory & Prac-Interviewing","001
650","","79","3.724","70.9","15.2","7.6","1.3","2.5",".","1.3",".",".",".",".",".",".",".","1.3","."
"Independent Reading","699
029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Counslng-Community Settings","791
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Thry&Prac:Grp Work-Cnslrs","802
001","","19","3.684","52.6","31.6","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Guid Prog Plan & Management","803
001","","14","3.962","85.7","7.1",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Suprvsd Pract-Counseling I","806
001","","16","3.933","81.3","12.5",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","808
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
004","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Suprvsd Prac-Coun III: Adv","Course Total","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Devlp Thry-Stdt Affrs","855
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thry&Prac-Career Interventn","865
001","","17","3.853","82.4","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Assess Tech-Couns Psych","890
001","","10","3.889","70.0","20.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","900
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
003","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","900
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Cnsl Psychology Practicum","Course Total","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Couns Psych Practicum","901
001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Practicum: Supervision","902
001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
