"HEC","","","","","","","","","","","","","","","","","","",""
"HUMAN DEVEL & FAMILY STUDI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","",""
"","362
001","222","3.021","26.1","18.0","23.9","7.7","15.8","2.7","2.7","3.2",".",".",".",".",".",".",".","."
"","362
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Development of Young Child","Course Total","229","3.052","28.4","17.5","23.1","7.4","15.3","2.6","2.6","3.1",".",".",".",".",".",".",".","."
"","363
001","57","3.079","14.0","24.6","28.1","29.8","3.5",".",".",".",".",".",".",".",".",".",".","."
"","002
363","207","3.046","16.9","17.4","30.0","22.2","7.2","1.4",".","4.3",".",".",".",".",".","0.5",".","."
"Develp: Adolescence-Old Age","Course Total","264","3.053","16.3","18.9","29.5","23.9","6.4","1.1",".","3.4",".",".",".",".",".","0.4",".","."
"Intellect Develop&Preschool","460
001","29","3.379","37.9","37.9","10.3","3.4","6.9",".","3.4",".",".",".",".",".",".",".",".","."
"Soc&Emotnl Dev-Early Educ","461
001","29","3.724","75.9","6.9","13.8",".",".","3.4",".",".",".",".",".",".",".",".",".","."
"Teaching Laboratory","463
001","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Family&Com Influences-Child","469
001","30","3.417","30.0","43.3","23.3",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"","471
001","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","471
002","27","3.500","55.6","25.9","7.4",".","7.4",".","3.7",".",".",".",".",".",".",".",".","."
"Parent-Child Relations","Course Total","35","3.543","54.3","28.6","8.6",".","5.7",".","2.9",".",".",".",".",".",".",".",".","."
"Ethnic Minority Families-US","474
001","51","3.618","47.1","29.4","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","501
001","17","3.750","52.9","35.3","5.9",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Family Stress and Coping","516
001","28","3.232","25.0","28.6","21.4","17.9","7.1",".",".",".",".",".",".",".",".",".",".","."
"Couple Relationships","517
001","48","3.115","25.0","10.4","41.7","8.3","14.6",".",".",".",".",".",".",".",".",".",".","."
"Family Perspctv-Policymakng","535
001","29","3.293","27.6","24.1","34.5","6.9","6.9",".",".",".",".",".",".",".",".",".",".","."
"Early Child Ed Tchg Practcm","564
001","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Preschool Stdt Teacher Smr","565
001","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Sr Seminar-Chld&Fam Studies","566
001","26","3.865","73.1","26.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
017","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
019","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","Course Total","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","766
001","6","3.417","50.0","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","766
002","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
766","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"","766
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Iss-Family Living","Course Total","31","3.738","74.2","16.1","3.2",".","3.2",".",".",".",".",".",".",".",".",".","3.2","."
"Educ Role-Fam-Early Chd Dev","841
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Parnt-Chld Across Life Crse","842
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 144 of 385",""
