"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Machine Organizatn&Progrmng","Course Total","161","2.655","20.5","15.5","24.8","6.2","14.9","9.3","8.7",".",".",".",".",".",".",".",".","."
"","367
001","97","3.163","20.6","32.0","26.8","10.3","4.1","1.0","3.1","1.0",".",".",".",".",".",".","1.0","."
"","002
367","88","2.972","19.3","17.0","33.0","13.6","12.5","2.3","2.3",".",".",".",".",".",".",".",".","."
"","003
367","103","2.837","28.2","7.8","30.1","10.7","9.7","1.9","9.7",".",".",".",".",".",".","1.9",".","."
"","367
005","63","3.325","23.8","33.3","30.2","9.5","3.2",".",".",".",".",".",".",".",".",".",".","."
"Intro to Data Structures","Course Total","351","3.049","23.1","21.4","29.9","11.1","7.7","1.4","4.3","0.3",".",".",".",".",".","0.6","0.3","."
"","368
001","19","",".",".",".",".",".",".",".",".",".","73.7","26.3",".",".",".",".","."
"","368
002","42","",".",".",".",".",".",".",".",".",".","97.6","2.4",".",".",".",".","."
"","368
003","30","",".",".",".",".",".",".",".",".",".","90.0","10.0",".",".",".",".","."
"Learn New Programming Lang","Course Total","91","",".",".",".",".",".",".",".",".",".","90.1","9.9",".",".",".",".","."
"","001
412","91","2.791","13.2","19.8","25.3","19.8","12.1","7.7","2.2",".",".",".",".",".",".",".",".","."
"","412
002","80","2.831","13.8","18.8","22.5","22.5","17.5","3.8","1.3",".",".",".",".",".",".",".",".","."
"Intro to Numerical Methods","Course Total","171","2.810","13.5","19.3","24.0","21.1","14.6","5.8","1.8",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435
001","19","2.737","10.5","15.8","26.3","26.3","15.8",".","5.3",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","17","3.029","23.5","23.5","11.8","17.6","23.5",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","51","2.827","23.5","11.8","17.6","21.6","11.8","5.9","3.9","2.0",".",".",".",".",".","2.0",".","."
"Intro-Progm Langs&Compilers","536
001","50","3.364","40.0","20.0","20.0","4.0","12.0",".",".",".",".",".",".",".",".",".","2.0","2.0"
"","537
001","54","3.536","48.1","18.5","27.8","3.7","1.9",".",".",".",".",".",".",".",".",".",".","."
"","002
537","59","3.455","32.2","40.7","18.6","5.1","3.4",".",".",".",".",".",".",".",".",".",".","."
"Intro to Operating Systems","Course Total","113","3.495","39.8","30.1","23.0","4.4","2.7",".",".",".",".",".",".",".",".",".",".","."
"Thry & Desgn-Progrmg Langs","538
001","44","3.216","36.4","22.7","18.2","2.3","18.2",".","2.3",".",".",".",".",".",".",".",".","."
"Intro-Artificl Intelligence","540
001","50","2.774","16.0","12.0","26.0","22.0","14.0","6.0","2.0","2.0",".",".",".",".",".",".",".","."
"","552
001","14","3.346","21.4","35.7","21.4","14.3",".",".",".",".",".",".",".",".",".",".","7.1","."
"","552
002","20","2.600","15.0","10.0","15.0","20.0","30.0","10.0",".",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","Course Total","34","2.894","17.6","20.6","17.6","17.6","17.6","5.9",".",".",".",".",".",".",".",".","2.9","."
"Computer Graphics","001
559","32","2.859","21.9","18.8","18.8","28.1","3.1",".","9.4",".",".",".",".",".",".",".",".","."
"Database Mgt Systems","001
564","67","3.309","46.3","17.9","17.9",".","10.4","4.5","1.5","1.5",".",".",".",".",".",".",".","."
"","577
001","73","3.458","54.8","9.6","20.5","4.1","8.2",".","1.4",".",".",".",".",".","1.4",".",".","."
"","002
577","57","3.509","50.9","19.3","14.0","12.3","3.5",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Algorithms","Course Total","130","3.481","53.1","13.8","17.7","7.7","6.2",".","0.8",".",".",".",".",".","0.8",".",".","."
"Intro to Computer Networks","640
001","65","3.242","30.8","26.2","9.2","15.4","9.2",".","1.5","7.7",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","4","***","","","","","","","","","","","","","","","",""
"","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
