"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"630","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch-Japanese Technical Lit","Course Total","2","***","","","","","","","","","","","","","","","",""
"654
Teaching in Science & Engr","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"690","001","11","3.704","72.7","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"690","003","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","011","5","***","","","","","","","","","",".",".",".",".",".",".","."
"690","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","017","21","3.643","38.1","52.4","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","020","21","3.929","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","022","25","4.000","8.0",".",".",".",".",".",".","92.0",".",".",".",".",".",".",".","."
"690","023","20","4.000","20.0",".",".",".",".",".",".","80.0",".",".",".",".",".",".",".","."
"Special Topics in E P D","Course Total","136","3.803","53.7","11.8","3.7","0.7",".",".",".","30.1",".",".",".",".",".",".",".","."
"699","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","3","***","","","","","","","","","","","","","","","",""
"E P D
348","Dept. Total","814","3.657","53.7","25.8","10.1","2.9","1.0","0.1","0.7","5.3",".",".",".",".","0.1","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"Freshmen","","167","3.316","33.5","29.3","25.7","6.6","1.8",".","3.0",".",".",".",".",".",".",".",".","."
"Sophomore","","128","3.549","46.1","34.4","10.9","3.9","2.3","0.8",".","1.6",".",".",".",".",".",".",".","."
"Junior","","118","3.630","56.8","30.5","4.2","3.4","0.8",".","0.8","3.4",".",".",".",".",".",".",".","."
"Senior","","247","3.725","55.1","23.1","6.5","1.2","0.4",".",".","13.4",".",".",".",".",".",".","0.4","."
"Undergraduates","","660","3.580","48.2","28.2","11.8","3.5","1.2","0.2","0.9","5.9",".",".",".",".",".",".","0.2","."
"Special","","18","3.697","44.4","16.7","5.6","5.6",".",".",".","22.2",".",".",".",".",".","5.6",".","."
"Graduate","","136","3.897","81.6","15.4","2.2",".",".",".",".",".",".",".",".",".","0.7",".",".","."
"","Dept. Total","814","3.657","53.7","25.8","10.1","2.9","1.0","0.1","0.7","5.3",".",".",".",".","0.1","0.1","0.1","."
