"INDUSTRIAL & SYSTEMS ENGR","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practice of Industrial Engr","191","001","","48","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","","91","3.604","64.8","15.4","11.0","4.4",".","3.3","1.1",".",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","","71","2.951","9.9","21.1","32.4","31.0","1.4","4.2",".",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","","34","3.176","32.4","11.8","35.3","11.8","2.9","5.9",".",".",".",".",".",".",".",".",".","."
"","321","001","","12","3.042","25.0","16.7","33.3","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","321","002","","10","3.150","30.0","20.0","30.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","321","003","","12","3.333","41.7",".","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","","34","3.176","32.4","11.8","35.3","11.8","2.9","5.9",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","","42","3.738","59.5","28.6","11.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","","43","3.607","41.9","34.9","20.9",".",".",".",".",".",".",".",".",".",".",".",".","2.3"
"Theory of Design I","466","001","","36","3.417","27.8","30.6","38.9","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Quality Assurance Systems","520","001","","35","3.545","40.0","25.7","25.7","2.9",".",".",".","5.7",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","6","2.750",".","33.3","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".",".","."
"Occupatnl Safty&Health Engr","556","001","","17","3.529","41.2","29.4","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Ergonomcs-Manufact&Industry","564","001","","47","3.667","46.8","38.3","8.5",".","2.1",".",".",".",".",".",".",".","2.1",".",".","2.1"
"Meth-Risk Anal Nuc Pwr Plnt","574","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Facilities Location Models","578","001","","18","3.588","33.3","44.4","16.7",".",".",".",".",".",".",".",".",".",".",".",".","5.6"
"Plan Lrge-Scale Complex Sys","616","001","","36","3.597","19.4","80.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Information Systems","617","001","","12","3.727","50.0","33.3","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Intro-Stochastic Processes","632","001","","6","3.083","33.3",".","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Design & Anal-Manufact Sys","641","001","","42","3.940","88.1","11.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sim Model&Analy-Ind Eng Sys","642","001","","30","3.661","43.3","36.7","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Advanced CAD/CAM","655","001","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn & Hum Disablty & Aging","662","001","","15","3.833","80.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Occupational Stress","663","002","","27","3.759","63.0","25.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","001","","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","002","","23","3.585","34.8","47.8","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","003","","12","3.329","33.3","25.0","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","","Course Total","","47","3.559","38.3","42.6","12.8","6.4",".",".",".",".",".",".",".",".",".",".",".","."
"","699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","","21","4.000","81.0",".",".",".",".",".",".","14.3",".",".",".","4.8",".",".",".","."
