"SLAVIC (SLAVIC LANGUAGES)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","",""
"102","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"102","002","","11","3.727","72.7","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"102","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Semester Russian","Course Total","","19","3.353","52.6","15.8","5.3","5.3",".","5.3","5.3","10.5",".",".",".",".",".",".",".","."
"112
Second Semester Polish","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"182
Russ Honor Tutorial-Slav102","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"204","001","","14","3.577","50.0","14.3","21.4","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"204","002","","17","3.735","70.6","17.6","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Russian","Course Total","","31","3.667","61.3","16.1","12.9","3.2","3.2",".",".","3.2",".",".",".",".",".",".",".","."
"253
Russia: An Interdis Survey","001","","10","3.250","10.0","40.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"276
Third Year Russian II","001","","9","3.438","33.3","33.3","11.1",".","11.1",".",".",".",".",".",".",".",".","11.1",".","."
"277
Third Year Polish I","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"284
Russ Honor Tutorial-Slav204","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"316
Russian Lang & Culture II","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"322
Fourth Year Russian II","001","","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"331
Fourth Year Polish I","001","","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"342
Uvod u srpsku i hrvtsku lit","001","","6","3.400","33.3",".","50.0",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"370
Rom Culture-Russia & E Eur","001","","7","3.333","14.3",".","28.6",".",".",".",".","42.9",".",".",".",".",".","14.3",".","."
"420
Chekhov","001","","9","3.647","66.7","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"422
Dostoevsky","001","","6","3.739","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"472
Hist lit polsk po roku 1863","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","3.944","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"705
Special Topics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"710
Pushkin","001","","12","3.889","66.7",".","8.3",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"770
Russian Poetry 1837-1890","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"820
College Teaching of Russian","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"925
Seminar-Soviet Literature","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"991","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indiv Research-Slavic Lit","Course Total","","8","",".",".",".",".",".",".",".","37.5",".",".",".","62.5",".",".",".","."
