"ANATOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","",""
"328
Human Anatomy","001","","355","2.762","22.0","10.7","23.7","12.1","16.1","10.4","2.5","1.4","0.8",".",".",".",".",".","0.3","."
"329","001","","58","3.422","53.4","13.8","19.0","1.7","8.6","1.7","1.7",".",".",".",".",".",".",".",".","."
"329","002","","68","3.537","52.9","19.1","17.6","5.9","2.9","1.5",".",".",".",".",".",".",".",".",".","."
"Human Anatomy-Kinesiology","Course Total","","126","3.484","53.2","16.7","18.3","4.0","5.6","1.6","0.8",".",".",".",".",".",".",".",".","."
"575
Biological Processes-Aging","001","","8","3.000","25.0",".","37.5",".","25.0",".",".","12.5",".",".",".",".",".",".",".","."
"611
Systems Neuroscience","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"722
Clinicl Anatomy & Radiology","002","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","10","",".",".",".",".",".",".",".","80.0",".",".",".","20.0",".",".",".","."
