"HISTORY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","",""
"Islamic Hist:Orig-Ottoman Empr","439","001","","48","3.463","33.3","41.7","16.7","6.3",".","2.1",".",".",".",".",".",".",".",".",".","."
"Hist of Equatorial Africa","445","001","","27","3.259","22.2","40.7","11.1","18.5","7.4",".",".",".",".",".",".",".",".",".",".","."
"History of Medieval India","448","001","","48","3.267","25.0","20.8","31.3","6.3","4.2","2.1",".","2.1",".",".",".",".","4.2","2.1",".","2.1"
"Japan Mod Century:1853-1952","455","001","","35","3.103","31.4","17.1","17.1","14.3","11.4","5.7",".",".",".",".",".",".",".",".","2.9","."
"Amer Environmental History","460","001","","50","3.378","32.0","32.0","22.0","6.0","4.0","2.0",".","2.0",".",".",".",".",".",".",".","."
"Topics in S Asian History","463","001","","14","3.292","21.4","35.7","7.1","14.3","7.1",".",".","7.1",".",".",".",".","7.1",".",".","."
"American Economy Since 1865","466","001","","43","3.120","20.9","23.3","30.2","9.3","11.6","2.3",".",".",".",".",".",".",".","2.3",".","."
"Reading Seminar in History","500","001","","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health, Disease&Healing II","508","001","","6","2.868","16.7","16.7",".","50.0","16.7",".",".",".",".",".",".",".",".",".",".","."
"Multi-Racial Soc:Latin Amer","533","001","","26","3.404","30.8","34.6","19.2","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"History of Social Sciences","536","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist of Mass Communication","560","001","","35","2.843","14.3","11.4","34.3","20.0","17.1",".","2.9",".",".",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562","001","","14","3.417","35.7","7.1","35.7","7.1",".",".",".","14.3",".",".",".",".",".",".",".","."
"History of Books&Printing","570","001","","10","3.550","40.0","40.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Scand&Intl Relatns","578","001","","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","001","","18","3.205","22.2","33.3","16.7","16.7","11.1",".",".",".",".",".",".",".",".",".",".","."
"","600","002","","10","3.100",".","50.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","600","003","","15","3.033","6.7","13.3","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","600","004","","15","3.633","40.0","46.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","005","","13","3.667","38.5","46.2","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"","600","006","","20","3.550","20.0","70.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","007","","16","3.607","43.8","25.0","12.5","6.3",".",".",".","6.3",".",".",".",".","6.3",".",".","."
"","600","008","","15","3.567","60.0","33.3",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","600","009","","14","3.654","78.6","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".",".","7.1"
"","600","010","","15","2.464","13.3","20.0",".","13.3","26.7","20.0",".",".",".",".",".",".",".",".","6.7","."
"","600","011","","15","3.133","26.7","46.7","6.7","6.7",".","6.7","6.7",".",".",".",".",".",".",".",".","."
"","600","012","","12","3.250","33.3","25.0","25.0","8.3",".","8.3",".",".",".",".",".",".",".",".",".","."
"Advanced Seminar in History","","Course Total","","178","3.327","32.0","35.4","14.6","6.7","3.9","2.8","1.7","0.6",".",".",".",".","0.6","0.6","0.6","0.6"
"Afro-Am Hist Since 1900","636","001","","21","3.357","9.5","52.4","38.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Thesis Colloquium","680","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","682","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
