"E ASIAN LANGUAGES & LITERA Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","","",""
"Second Semester Chinese","102","001","","37","3.458","35.1","32.4","16.2","13.5",".",".",".","2.7",".",".",".",".",".",".",".","."
"Second Semester Japanese","104","001","","62","3.008","22.6","22.6","17.7","14.5","16.1","4.8",".","1.6",".",".",".",".",".",".",".","."
"Elementary Korean","106","001","","13","3.346","30.8","30.8","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","123","001","","24","3.325","25.0","33.3","12.5","4.2","4.2","4.2",".","16.7",".",".",".",".",".",".",".","."
"","123","002","","26","3.432","34.6","26.9","15.4",".","3.8","3.8",".","11.5",".",".",".",".",".",".","3.8","."
"Elementary Japanese","","Course Total","","50","3.381","30.0","30.0","14.0","2.0","4.0","4.0",".","14.0",".",".",".",".",".",".","2.0","."
"Fourth Semester Chinese","202","001","","18","3.765","55.6","33.3","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Fourth Semester Japanese","204","001","","20","3.100","20.0","25.0","25.0","15.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"Religion-Hist&Culture: East","273","001","","28","3.315","25.0","28.6","25.0","17.9",".",".",".",".",".",".",".",".",".",".","3.6","."
"Kendo:Intgratn-Mrtl&Lib Art","277","001","","9","2.929",".","11.1","55.6",".","11.1",".",".","22.2",".",".",".",".",".",".",".","."
"Sixth Semester Chinese","302","001","","11","3.591","63.6","9.1","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Japanese","304","001","","13","3.318","7.7","46.2","23.1","7.7",".",".",".","15.4",".",".",".",".",".",".",".","."
"Fourth Semester Chinese","318","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Japanese","320","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st Yr Classical Chinese","322","001","","9","3.688","33.3","55.6",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Elementary Korean","326","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Japanese","328","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist-Modern China 1911-1949","338","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Classic Chinese-Non-Majors","342","001","","20","3.421","20.0","55.0","10.0","5.0","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"Fourth Semester Korean","346","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Taoism","350","001","","16","2.755","12.5","18.8","18.8","25.0","12.5",".","6.3","6.3",".",".",".",".",".",".",".","."
"Survey-Chinese Literature","352","001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","354","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","354","001","","11","3.318","18.2","36.4","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Japanese Literature","","Course Total","","12","3.333","16.7","41.7","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Arts of China","355","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Language in Japanese Society","358","001","","19","3.222","26.3","10.5","42.1","10.5","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"Introduction to Buddhism","364","001","","32","3.155","6.3","34.4","31.3","18.8",".",".",".","3.1",".",".",".",".","6.3",".",".","."
"Intermed Tech Japanese II","375","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Eighth Semester Japanese","404","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Chinese Ling","432","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdgs-Modern Japanese Lit","564","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdgs-Classical Japanese Lit","574","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"History-Chinese Literature","652","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Studies in Chinese Fiction","672","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","000B","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","000A","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","","Section Total","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
