"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","17","2.667","11.8","11.8","29.4","11.8","11.8","5.9","5.9","11.8",".",".",".",".",".",".",".","."
"","101
002","20","2.921","15.0","15.0","40.0","10.0","10.0",".","5.0","5.0",".",".",".",".",".",".",".","."
"","101
004","20","3.278","15.0","40.0","20.0","10.0","5.0",".",".","10.0",".",".",".",".",".",".",".","."
"","101
007","19","3.632","47.4","36.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","101
009","20","3.132","30.0","10.0","30.0","15.0","5.0","5.0",".","5.0",".",".",".",".",".",".",".","."
"","010
101","22","3.159","40.9","27.3","4.5","4.5","13.6","4.5","4.5",".",".",".",".",".",".",".",".","."
"","101
011","19","3.342","36.8","15.8","31.6","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","101
014","24","3.523","45.8","16.7","20.8","4.2","4.2",".",".","4.2",".",".",".",".",".","4.2",".","."
"","101
015","17","3.063","29.4","5.9","11.8","41.2","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"","016
101","18","3.059","33.3","22.2","22.2",".",".","11.1","5.6","5.6",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","196","3.196","31.1","20.4","21.9","10.7","6.1","2.6","2.0","4.6",".",".",".",".",".","0.5",".","."
"","102
002","25","3.458","40.0","20.0","28.0","4.0","4.0",".",".","4.0",".",".",".",".",".",".",".","."
"","102
005","13","2.692","38.5","15.4","7.7",".","15.4","7.7","15.4",".",".",".",".",".",".",".",".","."
"","006
102","15","3.067","13.3","33.3","26.7","20.0",".","6.7",".",".",".",".",".",".",".",".",".","."
"","008
102","12","3.625","58.3","25.0","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","102
009","23","3.478","43.5","26.1","17.4","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"","102
010","22","2.818","4.5","13.6","54.5","13.6","4.5","9.1",".",".",".",".",".",".",".",".",".","."
"","102
011","10","2.650",".","10.0","50.0",".","40.0",".",".",".",".",".",".",".",".",".",".","."
"","102
012","21","2.786","19.0","9.5","28.6","23.8","9.5","4.8","4.8",".",".",".",".",".",".",".",".","."
"","014
102","24","3.417","29.2","29.2","37.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","102
015","18","2.200","11.1",".","22.2","22.2","5.6","5.6","16.7","16.7",".",".",".",".",".",".",".","."
"","102
016","8","3.643","37.5","37.5","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","191","3.091","26.7","19.4","28.3","9.9","6.8","3.1","3.1","2.6",".",".",".",".",".",".",".","."
"","201
001","19","3.632","52.6","21.1","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
003","22","3.625","63.6","4.5","13.6",".","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"","201
004","20","3.553","45.0","25.0","15.0","10.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","Course Total","61","3.603","54.1","16.4","18.0","3.3","3.3",".",".","4.9",".",".",".",".",".",".",".","."
"","203
002","20","3.447","50.0","20.0","5.0","5.0","15.0",".",".","5.0",".",".",".",".",".",".",".","."
"","004
203","24","3.208","33.3","16.7","20.8","16.7","12.5",".",".",".",".",".",".",".",".",".",".","."
"","203
006","15","3.233","26.7","26.7","26.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","59","3.293","37.3","20.3","16.9","10.2","13.6",".",".","1.7",".",".",".",".",".",".",".","."
"","204
001","23","3.262","26.1","34.8","17.4","4.3",".","8.7",".","8.7",".",".",".",".",".",".",".","."
"","004
204","19","3.353","26.3","21.1","31.6","10.5",".",".",".","10.5",".",".",".",".",".",".",".","."
"Fourth Semester Italian","Course Total","42","3.303","26.2","28.6","23.8","7.1",".","4.8",".","9.5",".",".",".",".",".",".",".","."
"Modern Italian Culture","230
001","12","3.375","50.0","25.0","16.7",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Italian for Rdg Knowledge","301
001","17","3.735","70.6","17.6","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Adv Compostn&Converstn","312
001","8","3.688","75.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Intro to Italian Literature","322
001","14","3.302","28.6","21.4","21.4","14.3","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"Special Topics-Italian Lit","450
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Il Settecento","621
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"La Poesia del Novecento","637
001","8","3.750","25.0","25.0",".",".",".",".",".","37.5",".",".",".",".",".",".","12.5","."
"Il Duecento","671
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 235 of 385",""
