"ART EDUCATION (DEPT OF ART) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","",""
"325
Comptrs-Elem&Secndry Art Ed","001","","22","3.905","86.4",".","9.1",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"423
Stdt Tchg-Elem School Art","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"424
Stdt Tchg-Secondary Sch Art","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
Art-Exceptional Education","001","","16","3.594","37.5","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","Course Total","","3","***","","","","","","","","","","","","","","","",""
"951","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"951","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Art Education","Course Total","","4","***","","","","","","","","","","","","","","","",""
"999","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Independent Reading","Course Total","","3","***","","","","","","","","","","","","","","","",""
