"MANAGEMENT AND HUMAN RE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"Sm Bus Mgmt/Entrepreneurshp","Course Total","80","3.788","60.0","33.8","3.8",".",".",".",".","2.5",".",".",".",".",".",".",".","."
"Business Strategy","723
003","29","3.707","51.7","37.9","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Project Management","724
001","41","3.866","92.7","2.4","2.4",".",".",".","2.4",".",".",".",".",".",".",".",".","."
"","725
001","45","3.644","37.8","55.6","4.4","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","002
725","41","3.813","65.9","29.3",".","2.4",".",".",".",".",".",".",".",".",".","2.4",".","."
"","725
004","42","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategc Mgmt-Innovatn&Tech","Course Total","128","3.791","62.5","33.6","1.6","1.6",".",".",".",".",".",".",".",".",".","0.8",".","."
"","726
001","19","3.763","52.6","47.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","726
002","22","3.591","54.5","36.4","4.5",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Social Environment-Business","Course Total","41","3.671","53.7","41.5","2.4",".",".",".","2.4",".",".",".",".",".",".",".",".","."
"Barg,Negot,Dispute Settlmnt","728
001","28","3.857","75.0","21.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bhv Anal-Mgt Decisn Making","729
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Organizational Intervention","731
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","733
001","49","3.592","36.7","44.9","18.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","733
002","44","3.466","25.0","43.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","733
003","31","3.645","38.7","51.6","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","733
004","34","3.559","26.5","58.8","14.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Corporate Strategy","Course Total","158","3.560","31.6","48.7","19.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
765","18","3.472","22.2","50.0","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
006","10","3.875","70.0",".","10.0",".",".",".",".","10.0",".",".",".",".",".","10.0",".","."
"Contemporary Topics","Course Total","51","3.644","52.9","27.5","13.7",".",".","2.0",".","2.0",".",".",".",".",".","2.0",".","."
"Seminar-Arts Administration","774
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
031","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
088","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
110","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","204
799","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Reading & Rsch-Management","Course Total","16","3.833","81.3","6.3",".",".","6.3",".",".",".",".",".",".",".","6.3",".",".","."
"Smr-Administrative Policy","870
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Personnel Management","871
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Doctoral Rsch Smr in Mgmt","976
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
088","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
123","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
124","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","Course Total","9","",".",".",".",".",".",".",".","55.6","11.1",".",".","33.3",".",".",".","."
"","999
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
054","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
060","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 59 of 385"
