"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Forum on the Environment","101","001","28","3.650","82.1","3.6","3.6",".","3.6","3.6","3.6",".",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","9","2.722","11.1","11.1","11.1","44.4","22.2",".",".",".",".",".",".",".",".",".",".","."
"Envir St-Social Perspective","112","001","217","3.843","82.5","10.6","3.2","2.3",".",".","0.9",".",".","0.5",".",".",".",".",".","."
"","120","001","29","3.328","24.1","55.2","6.9","3.4","3.4","6.9",".",".",".",".",".",".",".",".",".","."
"","120","002","21","3.450","33.3","33.3","14.3","14.3",".",".",".",".",".",".",".",".",".","4.8",".","."
"Global Phys Environments","","Course Total","50","3.378","28.0","46.0","10.0","8.0","2.0","4.0",".",".",".",".",".",".",".","2.0",".","."
"Atmspherc Envirnmnt&Society","121","001","28","2.870","10.7","21.4","25.0","10.7","28.6",".",".","3.6",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","41","3.463","61.0","4.9","17.1","9.8","4.9",".","2.4",".",".",".",".",".",".",".",".","."
"","127","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","127","002","16","2.813","6.3","18.8","31.3","18.8","25.0",".",".",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","","Course Total","19","2.895","10.5","21.1","26.3","21.1","21.1",".",".",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","29","3.121","24.1","27.6","20.7","10.3","13.8","3.4",".",".",".",".",".",".",".",".",".","."
"","201","001","9","3.444","55.6","11.1","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","201","002","13","3.077","15.4","38.5","15.4","23.1",".","7.7",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","","Course Total","22","3.227","31.8","27.3","13.6","18.2","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"Intro-Aerial Photo Systems","301","001","14","2.654","14.3","35.7","7.1",".","7.1","28.6",".","7.1",".",".",".",".",".",".",".","."
"Elec-op&Micro Remote Sensng","302","001","6","3.500","50.0","33.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Remote Sensng Digtl Image","303","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensng Vis Image&GIS","304","001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Env Lit:Speaking for Nature","307","001","28","3.661","39.3","53.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"People, Chemicals, Envrnmnt","308","001","22","3.523","36.4","31.8","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","339","001","49","2.708","14.3","16.3","6.1","28.6","30.6",".","2.0",".",".",".",".",".",".","2.0",".","."
"","339","002","40","2.566","5.0","12.5","17.5","30.0","25.0","2.5","2.5","5.0",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","89","2.645","10.1","14.6","11.2","29.2","28.1","1.1","2.2","2.2",".",".",".",".",".","1.1",".","."
"Environment&Global Economy","344","001","25","2.979","20.0","20.0","16.0","16.0","24.0",".",".","4.0",".",".",".",".",".",".",".","."
"Wetlands Ecology","361","001","30","3.117","36.7","6.7","36.7","3.3","10.0","3.3","3.3",".",".",".",".",".",".",".",".","."
"Envr Law, Toxic Subst&Consv","368","001","92","2.855","13.0","12.0","23.9","26.1","17.4","1.1",".","5.4",".",".",".",".","1.1",".",".","."
"Intro to Geog Info Systems","377","001","9","3.611","66.7","11.1","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","400","001","15","3.447","26.7","26.7","33.3",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"","400","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","003","6","3.083","50.0","16.7","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","400","004","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","400","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","","Section Total","12","4.000","91.7",".",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","400","005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Environ Studies","","Course Total","39","3.685","59.0","15.4","15.4",".",".",".","2.6","7.7",".",".",".",".",".",".",".","."
"Geom Anal-Vert Aerial Photo","403","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"People, Wildlife & Landscapes","434","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Environmental Ethics","441","001","35","3.252","28.6","17.1","28.6","14.3","5.7",".",".","5.7",".",".",".",".",".",".",".","."
"Amer Environmental History","460","001","19","3.368","26.3","31.6","36.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Environmental Sys Concepts","461","001","21","3.310","33.3","4.8","57.1",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Envr Study/UNESCO-Biosphere","463","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 153 of 385",""
