"ENTOMOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","",""
"201","001","","70","3.429","57.1","20.0","7.1","2.9","5.7","4.3","2.9",".",".",".",".",".",".",".",".","."
"201","002","","67","3.097","23.9","25.4","26.9","9.0","9.0","4.5","1.5",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","Course Total","","137","3.266","40.9","22.6","16.8","5.8","7.3","4.4","2.2",".",".",".",".",".",".",".",".","."
"299
Independent Study","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"302
Introduction to Entomology","001","","16","3.094","50.0",".","6.3","18.8","18.8","6.3",".",".",".",".",".",".",".",".",".","."
"351
Principles-Econ Entomology","001","","31","3.129","35.5","3.2","35.5","3.2","22.6",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"432
Tax & Bionomcs-Immature Ins","001","","11","3.727","72.7","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"530
Insect Behavior","001","","12","3.167","16.7","25.0","41.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","11","2.591","9.1","18.2","18.2","9.1","36.4","9.1",".",".",".",".",".",".",".",".",".","."
"699","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Advanced Taxonomy","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"905
Smr: Applied Entomology","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"950
Interdis Smr-Animal Behav","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Research & Thesis","Course Total","","25","",".",".",".",".",".",".",".","64.0",".",".",".","36.0",".",".",".","."
