"BIOMOLECULAR CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","","","","","","","","","","","","","","","","","","","",""
"503
Human Biochemistry","001","","137","3.062","38.0","10.9","23.4","5.8","13.1","5.1","3.6",".",".",".",".",".",".",".",".","."
"504","001","","49","3.337","40.8","12.2","32.7","6.1","6.1","2.0",".",".",".",".",".",".",".",".",".","."
"504","002","","22","3.614","54.5","18.2","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Human Biochemistry Lab","Course Total","","71","3.423","45.1","14.1","29.6","5.6","4.2","1.4",".",".",".",".",".",".",".",".",".","."
"675
Adv/Spec Topics:Biomol Chem","001","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Research Problems","Course Total","","11","3.885","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","018","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"900","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","023","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"900","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"900","028","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Biomoleclr Chem Journl Club","Course Total","","26","3.909","34.6","7.7",".",".",".",".",".","57.7",".",".",".",".",".",".",".","."
"901
Biomolecular Chem Seminar","001","","42","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"914
Smr-Molecular Biosci (Adv)","001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Adv Biomoleclr Chem & Rsrch","Course Total","","54","",".",".",".",".",".",".",".","79.6",".",".",".","20.4",".",".",".","."
