"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","",""
"MANAGEMENT AND HUMAN RE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","142","2.879","19.0","7.0","38.7","15.5","12.7","6.3","0.7",".",".",".",".",".",".",".",".","."
"","300
002","218","3.110","22.0","14.7","40.4","11.0","11.0","0.9",".",".",".",".",".",".",".",".",".","."
"","003
300","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
010","129","3.035","38.8","4.7","29.5","0.8","17.1","7.8","1.6",".",".",".",".",".",".",".",".","."
"","300
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","496","3.030","26.2","9.9","36.5","9.5","12.9","4.4","0.6",".",".",".",".",".",".",".",".","."
"","305
001","89","3.126","19.1","24.7","34.8","4.5","13.5",".","1.1","1.1",".",".",".",".",".","1.1",".","."
"","002
305","78","3.135","28.2","14.1","32.1","7.7","17.9",".",".",".",".",".",".",".",".",".",".","."
"","305
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Resource Management","Course Total","168","3.133","23.2","20.2","33.3","6.0","15.5",".","0.6","0.6",".",".",".",".",".","0.6",".","."
"","365
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
003","15","3.667","60.0","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","19","3.673","57.9","26.3","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","399
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
060","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","096
399","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","8","3.932","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Management of Teams","401
001","50","3.750","70.0","14.0","14.0",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"","420
001","42","3.917","92.9",".","4.8","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","49","3.980","98.0",".","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org & Mgmt Processes","Course Total","91","3.951","95.6",".","3.3","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"Small Bus Mgmnt/Entrprshp","002
422","41","3.695","51.2","36.6","12.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
423","30","3.258","23.3","23.3","36.7","13.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"","423
002","39","3.244","20.5","25.6","41.0","7.7","5.1",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","Course Total","69","3.250","21.7","24.6","39.1","10.1","4.3",".",".",".",".",".",".",".",".",".",".","."
"Compensation: Theory & Adm","610
001","33","3.455","36.4","27.3","30.3","3.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"Personnel Staffing & Eval","611
001","43","3.349","11.6","46.5","41.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","11","3.545","45.5","18.2","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
010","7","3.286","28.6","28.6","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","700
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","19","3.474","42.1","21.1","31.6",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","701
001","28","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
002","33","3.621","45.5","33.3","21.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
003","42","3.905","81.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motivational Effectiveness","Course Total","103","3.772","63.1","28.2","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","702
001","33","3.828","66.7","27.3","3.0",".",".",".",".",".",".",".",".",".",".",".","3.0","."
"","702
002","37","3.743","56.8","35.1","8.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","702
003","42","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership Effectiveness","Course Total","112","3.847","72.3","23.2","3.6",".",".",".",".",".",".",".",".",".",".",".","0.9","."
"Global Issues in Management","703
001","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","705
001","25","3.620","40.0","44.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org & Management Processes","720
001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
001","41","3.769","53.7","39.0","2.4",".",".",".",".","4.9",".",".",".",".",".",".",".","."
"","722
002","39","3.808","66.7","28.2","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 58 of 385"
