"L&S","","","","","","","","","","","","","","","","","","","",""
"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"990","017","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"990","018","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research in Lit","Course Total","","26","",".",".",".",".",".",".",".","46.2",".",".",".","53.8",".",".",".","."
"991","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Linguistc&Germanic Philolgy","Course Total","","5","***","","","","","","","","","","","","","","","",""
