"GREEK (CLASSICS)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","",""
"104
Second Semester Greek","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"304
Second Semester Greek","001","","7","3.109","14.3","14.3","57.1",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"306
Intermediate Greek","001","","10","3.722","60.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","10.0"
"505
Elem Prose Composition","001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"802
Graduate Survey","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890
Individual Research Thesis","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"GREEK
428","Dept. Total","","41","3.521","56.1","9.8","14.6","4.9","7.3",".",".","4.9",".",".",".",".",".",".",".","2.4"
