"","990
003","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
004","3","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
005","3","***","","","","","","","","","",".",".",".",".","",".",".","."
"Individual Research","Course Total","9","",".",".",".",".",".",".",".","77.8",".",".",".","22.2","",".",".",".","."
"ITALIAN
508","Dept. Total","634","3.259","34.9","19.7","21.5","8.4","6.0","2.1","1.7","5.2",".",".",".","0.3","",".","0.2","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","115","3.009","21.7","20.0","33.9","9.6","5.2","5.2","3.5",".",".",".",".",".","",".","0.9",".","."
"Sophomore","","164","3.330","34.1","25.0","22.0","9.1","5.5","1.2","0.6","2.4",".",".",".",".","",".",".",".","."
"Junior","","141","3.201","32.6","19.9","23.4","8.5","7.8","1.4","2.8","3.5",".",".",".",".","",".",".",".","."
"Senior","","139","3.238","36.0","19.4","18.0","10.1","8.6","2.2","1.4","4.3",".",".",".",".","",".",".",".","."
"Undergraduates","","559","3.208","31.7","21.3","23.8","9.3","6.8","2.3","2.0","2.7",".",".",".",".","",".","0.2",".","."
"Special","","16","3.673","56.3","12.5","12.5","6.3",".",".",".","12.5",".",".",".",".","",".",".",".","."
"Graduate","","58","3.931","60.3","6.9","1.7",".",".",".",".","25.9",".",".",".","3.4","",".",".","1.7","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".","",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".","",".",".",".","."
"","Dept. Total","634","3.259","34.9","19.7","21.5","8.4","6.0","2.1","1.7","5.2",".",".",".","0.3","",".","0.2","0.2","."
