"","699
021","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","","","","","","","",""
"Graduate Survey","802
001","","7","4.000","100.0",".",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"Individual Research Thesis","890
002","","2","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"GREEK
428","Dept. Total","","41","3.521","56.1","9.8","14.6","4.9","7.3","",".","",".","4.9","",".",".","",".","",".","",".",".",".","2.4"
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","4","2.600","25.0",".",".",".","50.0","",".","",".",".","",".",".","",".","",".","",".",".",".","25.0"
"Junior","","","4","3.100","25.0","25.0","25.0",".","25.0","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","10","3.806","80.0","10.0",".","10.0",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","18","3.402","55.6","11.1","5.6","5.6","16.7","",".","",".",".","",".",".","",".","",".","",".",".",".","5.6"
"Special","","","3","3.250","33.3","33.3",".","33.3",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","20","3.694","60.0","5.0","25.0",".",".","",".","",".","10.0","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","41","3.521","56.1","9.8","14.6","4.9","7.3","",".","",".","4.9","",".",".","",".","",".","",".",".",".","2.4"
