"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Intro-Internatl Relations","103","001","436","3.300","16.1","38.8","34.9","6.4","1.6","0.2","0.2","0.9",".",".",".",".","0.7",".","0.2","."
"Intro-Amer Politcs&Governmt","104","001","593","2.810","9.1","20.2","27.0","21.8","15.5","5.1","0.5",".",".",".",".",".",".",".","0.7","0.2"
"","106","001","248","3.213","24.6","27.4","23.8","14.1","5.6","1.2","0.8","0.4",".",".",".",".",".","0.8","1.2","."
"","106","002","161","2.972","7.5","27.3","28.6","26.7","6.8","1.9",".","0.6",".",".",".",".","0.6",".",".","."
"","106","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Comparative Politics","","Course Total","410","3.117","17.8","27.3","25.6","19.0","6.1","1.5","0.5","0.5",".",".",".",".","0.2","0.5","0.7","0.2"
"","199","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","200","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to State Government","205","001","94","3.367","28.7","29.8","37.2","1.1","1.1","1.1","1.1",".",".",".",".",".",".",".",".","."
"Intro to Political Theory","209","001","157","3.289","21.0","33.8","29.9","11.5","0.6","0.6","0.6","1.3",".",".",".",".",".","0.6",".","."
"Intro to East Asian Civ","222","001","19","3.368","42.1","21.1","15.8","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","13","3.346","30.8","30.8","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","38","3.042","10.5","36.8","23.7","7.9","13.2",".","2.6","2.6",".",".",".",".",".","2.6",".","."
"Intro to Political Psych","267","001","48","3.229","20.8","31.3","25.0","18.8","4.2",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","23","2.913","8.7","17.4","43.5","8.7","21.7",".",".",".",".",".",".",".",".",".",".","."
"Politics of World Economy","312","001","64","3.289","26.6","32.8","18.8","15.6","6.3",".",".",".",".",".",".",".",".",".",".","."
"Bargaining in Global Econmy","313","001","8","3.250","12.5","50.0","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Interntl Politics-Mid East","333","001","82","2.815","13.4","8.5","32.9","18.3","24.4","1.2",".","1.2",".",".",".",".",".",".",".","."
"China in World Politics","346","001","70","3.432","41.4","27.1","24.3","2.9","1.4",".","2.9",".",".",".",".",".",".",".",".","."
"Third Wrld in Internatl Sys","353","001","24","3.229","29.2","20.8","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"Alliances & Intl Politics","367","001","42","3.289","40.5","26.2","16.7","9.5",".","2.4","4.8",".",".",".",".",".",".",".",".","."
"Politics-Developing Areas","368","001","44","2.886","22.7","20.5","22.7","15.9","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"Anal of Internatl Relations","376","001","63","3.135","14.3","30.2","33.3","12.7","9.5",".",".",".",".",".",".",".",".",".",".","."
"","401","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","401","001","32","3.227","18.8","34.4","18.8","15.6","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"","401","002","11","3.350","27.3","27.3","18.2","18.2",".",".",".",".",".",".",".",".",".","9.1",".","."
"","401","003","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","038","12","3.955","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","63","3.428","36.5","28.6","15.9","11.1","3.2",".",".","3.2",".",".",".",".",".","1.6",".","."
"Amer Politics & Government","404","001","171","2.753","9.4","22.2","18.1","26.3","18.1","3.5","2.3",".",".",".",".",".",".",".",".","."
"The American Presidency","408","001","86","3.541","37.2","39.5","18.6","2.3",".","1.2",".",".",".",".",".",".",".","1.2",".","."
"Constitutional Law","412","001","135","3.117","19.3","28.1","25.9","15.6","7.4",".","2.2","0.7",".",".",".",".",".",".","0.7","."
"Legislative Process","426","001","49","3.225","14.3","38.8","30.6","6.1","8.2",".",".","2.0",".",".",".",".",".",".",".","."
"Legislative Internship","427","001","32","3.774","59.4","31.3","6.3",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"Amer Natl Scrty:Polcy&Prcss","442","001","22","3.341","13.6","54.5","22.7","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Criminal Law and Justice","452","001","326","3.093","17.5","20.9","32.8","17.5","5.5","1.8","0.3","3.1",".",".",".",".","0.6",".",".","."
"Politcal Economy-Race in US","462","001","31","3.414","58.1","12.9","12.9",".",".","3.2","6.5","6.5",".",".",".",".",".",".",".","."
"Civil Liberties in the U S","471","001","77","3.027","14.3","19.5","27.3","24.7","9.1",".",".","2.6",".",".",".",".","1.3","1.3",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 273 of 385",""
