"LANGUAGES AND CULTURES O Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"910
LANGASIA","","","","","","","","","","","","","","","","","","","","",""
"Elem Hindi-Urdu Intensive","102","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Sem Pilipino/Tagalog","108","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Thai","116","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Semstr Pilipino/Tagalog","208","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Civs of India-Classical Per","251","001","","28","3.500","28.6","53.6","10.7","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"Religion-Hist&Culture: East","273","001","","12","2.909","8.3","25.0","16.7","25.0","16.7",".",".","8.3",".",".",".",".",".",".",".","."
"Elem Hindi-Urdu Intensive","302","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Telugu Intensive","304","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Hindi","310","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Indonesian","312","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Thai","314","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Thai","316","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Year Sanskrit","320","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Year Sanskrit","322","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Turkish","327","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Turkish","332","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Indonesian","338","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Nepali-Intensive","340","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Year Telugu","350","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings in Advanced Urdu","360","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Buddhism","364","001","","21","3.211","19.0","28.6","28.6","9.5",".","4.8",".","9.5",".",".",".",".",".",".",".","."
"Ethnic & Minorty Relig-Amer","369","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Literary Tibetan","376","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2nd Year Literary Tibetan","377","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Indian Folklore","394","001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"2nd Semstr Pilipino/Tagalog","397","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Interm Hindi-Urdu Intensive","401","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Indonesian","404","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Urdu Prose Fic-Indian Sub","407","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Year Nepali","415","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Semstr Pilipino/Tagalog","419","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Buddhist Iconography","423","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Thai","447","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Medieval India","448","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Thai Prose:The Short Story","453","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Goddesses & Feminine Powers","464","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Pali Lang & Lit","522","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Structrs-Muslim Society","614","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Prob&Meth-Study of Religion","616","001","","14","3.538","42.9","21.4","21.4","7.1",".",".",".",".",".",".",".",".","7.1",".",".","."
