"L&S","","","","","","","","","","","","","","","","","","","",""
"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"POLI SCI
778","Dept. Total","3872","3.165","22.6","26.3","25.2","13.2","6.9","1.5","0.8","1.5","0.1","0.3","",".","0.8","0.4","0.2","0.3","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","424","2.963","12.3","25.7","30.7","13.4","12.5","3.3","0.7",".",".","0.2","",".",".","0.2","0.2","0.5","0.2"
"Sophomore","","928","3.094","17.3","26.5","29.3","16.1","6.9","2.6","0.3","0.1",".","0.2","",".",".",".","0.2","0.4","."
"Junior","","1108","3.161","20.8","28.3","26.9","14.4","6.7","0.9","1.0","0.2",".","0.2","",".",".","0.4","0.2",".","0.1"
"Senior","","1199","3.243","27.9","26.8","22.0","11.8","6.1","0.8","1.3","2.3",".","0.4","",".",".","0.4","0.3",".","."
"Undergraduates","","3659","3.147","21.3","27.1","26.3","13.9","7.2","1.6","0.9","0.8",".","0.3","",".",".","0.3","0.2","0.2","0.1"
"Special","","24","3.559","37.5","12.5","12.5",".","4.2",".",".","16.7",".",".","",".",".",".",".","16.7","."
"Graduate","","187","3.763","47.6","13.9","3.7","1.6","0.5","0.5",".","12.3","1.1",".","",".","16.6","2.1",".",".","."
"Prof Yr 3","","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","3872","3.165","22.6","26.3","25.2","13.2","6.9","1.5","0.8","1.5","0.1","0.3","",".","0.8","0.4","0.2","0.3","0.1"
