"KINESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"","116
002","","17","3.594","35.3","41.2","17.6",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","116
003","","20","3.711","45.0","45.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"First Aid","Course Total","","37","3.657","40.5","43.2","10.8",".",".",".",".","5.4",".",".",".",".",".",".",".","."
"Intro to Athletic Training","127
001","","55","3.336","23.6","43.6","14.5","16.4",".","1.8",".",".",".",".",".",".",".",".",".","."
"","197
001","","25","3.260","12.0","36.0","44.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"","197
002","","26","3.212","7.7","38.5","46.2","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"Technique-Athletic Training","Course Total","","51","3.235","9.8","37.3","45.1","5.9","2.0",".",".",".",".",".",".",".",".",".",".","."
"","300
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
300","","28","3.946","92.9","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Kinesiology","Course Total","","34","3.908","88.2","2.9","8.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314
001","","29","3.172","31.0","17.2","31.0","3.4","13.8","3.4",".",".",".",".",".",".",".",".",".","."
"","315
001","","16","3.688","62.5","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
315","","12","2.958","8.3","25.0","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Measurement-Motor Behavior","Course Total","","28","3.375","39.3","21.4","21.4","10.7","7.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biomechanics","318
001","","24","3.438","37.5","20.8","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro:Neural Basis-Movement","321
001","","58","3.560","31.0","50.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323
001","","12","3.458","33.3","41.7","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","323
002","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323
003","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Ed-Elem School Children","Course Total","","43","3.837","79.1","14.0","4.7",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"Specialized Tchg Experience","332
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350
001","","54","3.222","31.5","29.6","18.5","11.1","3.7","1.9","3.7",".",".",".",".",".",".",".",".","."
"Phys Agnts-Treat Athl Injry","357
001","","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Motor Development","360
001","","27","3.389","18.5","44.4","33.3","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361
001","","39","3.526","38.5","28.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessmnt&Progrmg Adaptd PE","364
001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
005","","10","3.929","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Med Probs-Exercise & Sports","457
001","","19","3.471","31.6","21.1","36.8",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"Tchg-Learn Proc:Motor Skill","462
001","","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Athletic Training","499
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinic Exercise Test&Train","523
001","","39","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women-Sport: Hist Perspctv","001
561","","6","3.618","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab Tech-Exercise Physiol","615
001","","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","699
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
