"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"368","000B","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"368","000A","","6","3.464","33.3","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","","7","3.559","42.9","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Study Abroad-German Culture","Course Total","","7","3.559","42.9","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"392
German for Grad Reading II","001","","15","3.769","60.0","13.3","13.3",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"411
Kultur des 20. Jahrhunderts","001","","22","3.350","40.9","18.2","36.4",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"611
Survey German Lit to 1700","001","","15","3.733","46.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"625
Letterkunde der Lage Landen","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"644
Theory & Practice of Drama","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"651
Intro to Middle High German","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"677
Smr-German Culture Studies","001","","16","3.344","31.3","18.8","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"682","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Thesis-2nd Sem","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","12","3.932","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"706
Weimr Rep,Fasm,Exil 1919-45","001","","9","3.786","55.6","11.1","11.1",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"727
Topics-Applied Linguistics","001","","10","3.938","70.0","10.0",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"755
Old Germanic Languages","001","","11","3.950","81.8","9.1",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"799","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","3.906","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"804
Interdis W Europ Studies Sm","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"939
Prosmr:Intro-Lit Scholarshp","001","","7","3.143","42.9","28.6","14.3",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"948
Advanced Seminar","001","","10","3.750","20.0","20.0",".",".",".",".",".","60.0",".",".",".",".",".",".",".","."
"960
Seminar-German Linguistics","001","","9","4.000","77.8",".",".",".",".",".",".","11.1",".",".",".",".","11.1",".",".","."
"970
Adv Smr-German Linguistics","001","","11","3.900","81.8",".","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 219 of 385",""
