"","575
008","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Clinical Lab Science Practicum","Course Total","14","3.893","85.7","14.3",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Current Issues Seminar","640
001","17","4.000","100.0",".",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Directed Study","699
029","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"CLNLABSC
628","Dept. Total","165","3.343","43.6","11.5","33.3","5.5","6.1","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","4","2.750",".",".","75.0",".","25.0","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","26","3.365","26.9","26.9","34.6","7.7","3.8","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","134","3.348","47.8","9.0","32.1","5.2","6.0","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","164","3.338","43.3","11.6","33.5","5.5","6.1","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","165","3.343","43.6","11.5","33.3","5.5","6.1","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
