"FOLKLORE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","",""
"Introduction to Folklore","100
001","57","3.163","24.6","28.1","12.3","7.0","10.5",".","3.5","14.0",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","8","3.313","50.0",".","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"The African Storyteller","210
001","97","2.548","12.4","9.3","18.6","20.6","25.8","6.2","4.1","2.1",".",".",".",".",".","1.0",".","."
"The Folk Tale","220
001","94","3.178","20.2","25.5","26.6","13.8","3.2","3.2",".","7.4",".",".",".",".",".",".",".","."
"Intro to American Folklore","230
001","78","3.473","28.2","35.9","28.2","2.6",".",".",".","5.1",".",".",".",".",".",".",".","."
"Intro to Asian Performance","326
001","8","3.810","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rom Culture-Russia & E Eur","370
001","20","2.947","25.0","15.0","30.0","5.0","10.0","5.0","5.0",".",".",".",".",".","5.0",".",".","."
"Indian Folklore","394
001","18","3.250","5.6","50.0","38.9",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Dir Stdy-Folklore Undergrad","399
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Musical Cultures-World","402
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"African Poetry","411
001","12","3.000",".","33.3","41.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"Scandinavian American Folklore","440
001","11","3.650","45.5","27.3","18.2",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Practicum in Public Folklore","491
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Material Culture Analysis","512
001","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Folklore","530
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Ethnographc Textiles","640
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"FOLKLORE
380","Dept. Total","428","3.124","23.4","24.1","23.6","10.3","9.1","2.3","1.6","5.1",".",".",".",".","0.2","0.2",".","."
