"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","","157","3.493","47.8","19.1","21.7","3.2","4.5","0.6","0.6","2.5",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","","18","3.313","33.3","5.6","38.9","5.6","5.6",".",".","11.1",".",".",".",".",".",".",".","."
"Opera","105
001","","82","3.323","47.6","6.1","30.5","2.4","3.7","3.7","2.4","3.7",".",".",".",".",".",".",".","."
"Intro to Music Technology","110
001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","111
001","","22","3.727","63.6","27.3","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","002
111","","23","3.705","60.9","21.7","8.7",".","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"Elements of Music","Course Total","","45","3.716","62.2","24.4","6.7",".","4.4",".",".","2.2",".",".",".",".",".",".",".","."
"Music in Performance","114
001","","479","3.943","86.2","4.0","1.0","0.6","0.2",".","0.2","7.5",".",".",".",".",".",".",".","0.2"
"","001
122","","21","2.929","14.3","33.3","19.0","19.0","4.8","4.8","4.8",".",".",".",".",".",".",".",".","."
"","122
002","","30","3.000","20.0","23.3","23.3","16.7","10.0","6.7",".",".",".",".",".",".",".",".",".","."
"Musica Practica 2","Course Total","","51","2.971","17.6","27.5","21.6","17.6","7.8","5.9","2.0",".",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","151
001","","34","3.938","82.4","11.8",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","172
101","","13","3.115","30.8","15.4","38.5","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"","172
102","","8","3.375","12.5","50.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103
172","","12","3.208","8.3","33.3","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","172
104","","8","3.188","25.0","25.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","172
105","","10","3.500","40.0","30.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 2","Course Total","","51","3.265","23.5","29.4","35.3","7.8","2.0",".","2.0",".",".",".",".",".",".",".",".","."
"The Legendary Performers","206
001","","292","3.538","42.5","28.4","15.1","5.5","3.1",".",".","5.5",".",".",".",".",".",".",".","."
"Survey-Hist Western Music","212
001","","71","3.282","49.3","7.0","22.5","1.4","16.9","1.4","1.4",".",".",".",".",".",".",".",".","."
"","222
001","","28","2.911","25.0","21.4","21.4","3.6","17.9","7.1","3.6",".",".",".",".",".",".",".",".","."
"","222
002","","22","3.455","50.0","13.6","18.2","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 4","Course Total","","50","3.150","36.0","18.0","20.0","8.0","12.0","4.0","2.0",".",".",".",".",".",".",".",".","."
"Vocal Techniques","241
001","","17","3.618","58.8","17.6","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","254
001","","10","3.722","70.0",".","10.0","10.0",".",".",".",".",".",".",".",".","10.0",".",".","."
"","002
254","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","","24","3.870","83.3","4.2","4.2","4.2",".",".",".",".",".",".",".",".","4.2",".",".","."
"Opera Workshop","257
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Piano","261
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","","34","3.985","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Black Music Ensemble","266
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 255 of 385",""
