"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","",""
"","710
003","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".","",".",".",".",".","."
"Ethics & Social Responsblty","Course Total","52","3.663","48.1","40.4","9.6",".","1.9",".",".",".",".",".","",".",".",".",".",".","."
"","765
001","3","***","","","","","","","","","",".",".","",".",".",".",".","."
"","002
765","30","3.966","93.3",".","3.3",".",".",".",".","3.3",".",".",".","",".",".",".",".","."
"","003
765","29","3.269","10.3","6.9","24.1","3.4",".",".",".","51.7","3.4",".",".","",".",".",".",".","."
"","765
004","3","***","","","","","","","","","",".",".","",".",".",".",".","."
"Contemporary Topics","Course Total","65","3.744","49.2","6.2","12.3","1.5",".",".",".","24.6","1.5",".","",".","4.6",".",".",".","."
"","799
087","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","799
100","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Rdg & Rsch-Business Rsch","Course Total","2","***","","","","","","","","","","","","","","","","",""
"Panel Data Analysis","806
001","13","4.000","84.6",".",".",".",".",".",".","15.4",".",".",".","",".",".",".",".","."
"GEN BUS
231","Dept. Total","1906","3.271","30.2","25.7","24.3","8.0","8.6","0.6","0.2","1.3","0.1","0.8","",".","0.2","0.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","101","2.857","4.0","19.8","36.6","19.8","15.8","1.0",".","1.0",".","2.0","",".",".",".",".",".","."
"Sophomore","","182","3.156","11.0","32.4","33.0","13.2","5.5",".",".",".",".","4.9","",".",".",".",".",".","."
"Junior","","466","3.230","25.3","26.8","29.8","8.4","7.1","1.5","0.4",".",".","0.4","",".",".","0.2",".",".","."
"Senior","","859","3.244","28.6","26.5","23.5","7.7","12.0","0.5","0.2","0.6",".","0.3","",".",".",".",".",".","."
"Undergraduates","","1608","3.206","24.1","26.9","27.2","9.3","10.1","0.7","0.2","0.4",".","1.0","",".",".","0.1",".",".","."
"Special","","14","3.141","28.6","7.1","35.7","28.6",".",".",".",".",".",".","",".",".",".",".",".","."
"Graduate","","280","3.806","63.9","20.4","7.1",".","0.4",".",".","6.4","0.4",".","",".","1.1","0.4",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 3","","3","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","4","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","1906","3.271","30.2","25.7","24.3","8.0","8.6","0.6","0.2","1.3","0.1","0.8","",".","0.2","0.1",".",".","."
