"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","158","2.959","20.9","15.2","35.4","13.3","6.3","5.1","3.2","0.6",".",".",".",".",".",".",".","."
"","002
300","62","2.983","16.1","17.7","37.1","11.3","9.7","3.2","1.6","3.2",".",".",".",".",".",".",".","."
"","003
300","115","3.102","24.3","10.4","40.0","9.6","13.0","0.9",".","1.7",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","335","3.012","21.2","14.0","37.3","11.6","9.3","3.3","1.8","1.5",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","001
305","45","3.167","33.3","13.3","20.0","20.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"","320
001","92","3.258","28.3","9.8","45.7","9.8","3.3",".",".","2.2",".",".",".",".","1.1",".",".","."
"","002
320","81","3.119","25.9","3.7","46.9","12.3","9.9",".",".","1.2",".",".",".",".",".",".",".","."
"Investments","Course Total","173","3.192","27.2","6.9","46.2","11.0","6.4",".",".","1.7",".",".",".",".","0.6",".",".","."
"","001
325","62","3.081","24.2","12.9","33.9","12.9","16.1",".",".",".",".",".",".",".",".",".",".","."
"","325
002","60","3.208","35.0","11.7","26.7","13.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","122","3.143","29.5","12.3","30.3","13.1","14.8",".",".",".",".",".",".",".",".",".",".","."
"","365
001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
365","17","3.294","41.2","17.6","17.6","17.6",".","5.9",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","23","3.529","43.5","26.1","13.0","13.0",".","4.3",".",".",".",".",".",".",".",".",".","."
"","399
023","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","4","***","","","","","","","","","","","","","","","",""
"Bank Management","001
410","88","3.278","15.9","37.5","35.2","9.1","2.3",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","51","3.013","25.5","2.0","49.0",".","21.6","2.0",".",".",".",".",".",".",".",".",".","."
"","630
001","45","2.875","8.9","24.4","40.0",".","15.6","8.9",".","2.2",".",".",".",".",".",".",".","."
"","630
002","50","3.190","16.0","38.0","32.0",".","12.0","2.0",".",".",".",".",".",".",".",".",".","."
"Options & Financial Futures","Course Total","95","3.043","12.6","31.6","35.8",".","13.7","5.3",".","1.1",".",".",".",".",".",".",".","."
"","635
001","55","3.102","16.4","30.9","21.8","14.5","14.5",".",".","1.8",".",".",".",".",".",".",".","."
"","002
635","35","3.469","34.3","25.7","22.9","8.6",".",".",".","8.6",".",".",".",".",".",".",".","."
"Security Analysis","Course Total","90","3.238","23.3","28.9","22.2","12.2","8.9",".",".","4.4",".",".",".",".",".",".",".","."
"","700
001","46","3.544","39.1","37.0","15.2","4.3","2.2",".",".","2.2",".",".",".",".",".",".",".","."
"","700
002","29","3.466","27.6","41.4","27.6","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","Course Total","75","3.514","34.7","38.7","20.0","4.0","1.3",".",".","1.3",".",".",".",".",".",".",".","."
"Financial Market&Bus Condtn","705
001","15","3.625","33.3","33.3","13.3",".",".",".",".","13.3",".",".",".",".",".","6.7",".","."
"Investment Theory&Practice","720
001","36","3.333","27.8","33.3","33.3",".","2.8",".","2.8",".",".",".",".",".",".",".",".","."
"Corporatn Finance Thry&Prac","725
002","41","3.475","31.7","31.7","31.7","2.4",".",".",".","2.4",".",".",".",".",".",".",".","."
"Anal-Fixed Income Securities","740
001","23","3.543","26.1","56.5","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Policy","755
001","32","3.516","18.8","65.6","15.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","11","3.727","63.6","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","23","3.728","52.2","34.8","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","799
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
087","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","3","***","","","","","","","","","","","","","","","",""
"Intmed Investment Theory","820
003","29","3.517","34.5","34.5","31.0",".",".",".",".",".",".",".",".",".",".",".",".","."
