"WILDLIFE ECOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"960
WL ECOL","","","","","","","","","","","","","","","","","","","",""
"299","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"301
Terr Vertbrt:Life Hist&Ecol","001","","45","2.700","13.3","17.8","22.2","20.0","15.6","6.7","4.4",".",".",".",".",".",".",".",".","."
"335
Hum/An Relatn:Bio&Phils Iss","001","","12","2.250",".","8.3","25.0",".","33.3","16.7",".","8.3",".",".",".",".",".","8.3",".","."
"375","001","","24","3.831","79.2","12.5","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","30","3.798","70.0","23.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"379
Princ-Wildlife Management","001","","69","2.986","17.4","23.2","27.5","17.4","8.7","4.3","1.4",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"515
Renewable Resources Policy","001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"651
Conservation Biology","001","","10","3.350","30.0","50.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"655
Animal Population Dynamics","001","","23","3.130","26.1",".","60.9",".","13.0",".",".",".",".",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","2","***","","","","","","","","","","","","","","","",""
"961
Seminar","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","23","",".",".",".",".",".",".",".","82.6",".",".",".","17.4",".",".",".","."
