"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"Intensv English as 2nd Lang","Course Total","23","",".",".",".",".",".",".",".",".",".","87.0","13.0",".",".",".",".","."
"ESL: Grammar-Academic Use","115
001","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
001","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
002","18","",".",".",".",".",".",".",".",".",".","88.9","5.6",".",".",".","5.6","."
"","116
003","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Academc Readng&Vocablry","Course Total","49","",".",".",".",".",".",".",".",".",".","95.9","2.0",".",".",".","2.0","."
"","117
001","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
002","16","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"","004
117","14","",".",".",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".","."
"","117
006","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Academic Writing I","Course Total","61","",".",".",".",".",".",".",".",".",".","93.4","6.6",".",".",".",".","."
"","118
001","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
002","13","3.462","38.5","23.1","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","118
005","16","3.594","62.5","31.3",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","118
006","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
007","15","3.633","40.0","46.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
118","13","3.538","46.2","46.2",".",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"ESL: Academic Writing II","Course Total","87","3.649","55.2","32.2","9.2","1.1",".","1.1","1.1",".",".",".",".",".",".",".",".","."
"ESL:Oral Communicatn Skills","122
001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"The Bible in English Tradition","151
001","107","3.053","16.8","20.6","34.6","12.1","9.3","1.9","0.9","2.8",".",".",".",".",".",".","0.9","."
"Shakespeare","162
001","214","3.182","21.5","28.5","31.3","10.3","4.2","1.4","1.9","0.5",".",".",".",".",".","0.5",".","."
"Intro-Brit & Amer Lit pre-1914","167
001","251","3.064","12.0","25.1","38.6","17.9","4.4","1.2","0.8",".",".",".",".",".",".",".",".","."
"","001
168","132","3.136","15.9","30.3","34.8","9.1","8.3",".","1.5",".",".",".",".",".",".",".",".","."
"","168
002","319","3.160","17.6","28.2","33.5","14.1","3.1","0.9","1.3","0.6",".",".",".",".",".","0.6",".","."
"Intro to Modern Lit since 1900","Course Total","451","3.152","17.1","28.8","33.9","12.6","4.7","0.7","1.3","0.4",".",".",".",".",".","0.4",".","."
"Intro to Modern American Lit","169
001","40","3.625","52.5","35.0","10.0",".",".",".","2.5",".",".",".",".",".",".",".",".","."
"","201
001","9","3.556","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","22","3.727","72.7","18.2","4.5",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"","201
003","15","3.000","20.0","33.3","20.0","6.7","13.3",".","6.7",".",".",".",".",".",".",".",".","."
"","201
004","15","3.100","20.0","40.0","13.3","6.7","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"","201
005","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
006","17","3.265","11.8","29.4","58.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
007","16","3.469","18.8","68.8","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","201
008","19","3.395","15.8","47.4","36.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
201","17","2.912","35.3","29.4","11.8",".","5.9",".","17.6",".",".",".",".",".",".",".",".","."
"","010
201","18","3.444","22.2","50.0","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","201
011","17","3.088","11.8","41.2","29.4","11.8",".",".","5.9",".",".",".",".",".",".",".",".","."
"Intermediate Composition","Course Total","179","3.330","28.5","39.7","21.8","2.8","3.4","1.1","2.8",".",".",".",".",".",".",".",".","."
"","203
001","18","3.583","27.8","61.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
003","18","3.794","61.1","27.8","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","203
004","16","3.125","25.0","31.3","25.0","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","005
203","19","3.421","57.9","10.5","21.1",".","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"Creatv Writng:Beg Fict&Poet","Course Total","71","3.486","43.7","32.4","15.5","1.4","2.8",".","2.8","1.4",".",".",".",".",".",".",".","."
"","215
001","108","3.360","27.8","27.8","35.2","4.6","3.7",".",".","0.9",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 202 of 385",""
