"COUNSELING PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","","",""
"951
Rsch-Indiv Intervention","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"952
Rsch: Group Intervention","001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"954
Topicl Rsch-Counselng Psych","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","7","",".",".",".",".",".",".",".","85.7",".",".",".","14.3",".",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","025","","8","",".",".",".",".",".",".",".","75.0",".",".",".","25.0",".",".",".","."
"990","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","13","",".",".",".",".",".",".",".","61.5",".",".",".","38.5",".",".",".","."
"990","028","","8","",".",".",".",".",".",".",".","25.0",".",".",".","75.0",".",".",".","."
"990","029","","8","",".",".",".",".",".",".",".","62.5",".",".",".","37.5",".",".",".","."
"Research or Thesis","Course Total","","65","",".",".",".",".",".",".",".","70.8",".",".",".","29.2",".",".",".","."
"999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","027","","9","3.958","77.8","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".",".","."
"999","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","20","3.985","85.0","5.0",".",".",".",".",".",".",".",".",".","5.0",".",".","5.0","."
