"","990
051","5","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
056","3","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
059","2","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","38","",".",".",".",".",".","",".","",".","76.3",".",".",".","23.7","",".",".",".","."
"MED PHYS
621","Dept. Total","151","3.564","35.8","19.9","13.9","2.6","0.7","",".","",".","21.2",".",".",".","6.0","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","1","2.500",".",".",".","100.0",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Senior","","13","3.371","23.1","30.8","30.8",".","7.7","",".","",".","7.7",".",".",".",".","",".",".",".","."
"Undergraduates","","14","3.318","21.4","28.6","28.6","7.1","7.1","",".","",".","7.1",".",".",".",".","",".",".",".","."
"Special","","1","3.000",".",".","100.0",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Graduate","","134","3.603","36.6","19.4","11.9","2.2",".","",".","",".","23.1",".",".",".","6.7","",".",".",".","."
"Prof Yr 4","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Professionals","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","Dept. Total","151","3.564","35.8","19.9","13.9","2.6","0.7","",".","",".","21.2",".",".",".","6.0","",".",".",".","."
