"MICROBIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","",""
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","073","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","34","3.902","85.3","2.9","8.8",".",".",".",".",".",".",".",".",".",".",".","2.9","."
"725
Microbial Diversity&Physiol","001","","13","3.538","30.8","46.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"726
Reg Gene Express-Prokaryots","001","","15","3.633","46.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"731
Seminar","001","","46","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"901","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"901","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"901","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"901","005","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"901","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"901","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"901","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"901","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"901","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"901","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"901","014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Seminar","Course Total","","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"914
Smr-Molecular Biosci (Adv)","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"932","001","","12","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"932","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Biotechnol Traing Prgm Smr","Course Total","","13","3.692","69.2",".","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","10","",".",".",".",".",".",".",".","20.0",".",".",".","80.0",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","014","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 11 of 385"
