"CONTINUING AND VOCATIONAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"268
C A V E","","","","","","","","","","","","","","","","","","","",""
"100
Ed Found-Human&Naturl Rsrce","001","","25","3.022","20.0","28.0","20.0","8.0","8.0","4.0","4.0",".",".",".",".",".","4.0",".","4.0","."
"299","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"340
Fam & Consmr Ed for Adults","001","","20","2.825","15.0","5.0","45.0","20.0","5.0","10.0",".",".",".",".",".",".",".",".",".","."
"345
Practicum in Vocational Ed","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"370
Teaching Vocational Educ","001","","20","3.775","65.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","17","3.235","35.3","11.8","29.4","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"399","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","069","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","6","3.707","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"609
Iss & Probs-Cont & Voc Educ","001","","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"661
Org&Oper-Educ for Work Progrms","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675
General Topics","001","","18","3.786","50.0","22.2","5.6",".",".",".",".",".",".",".",".",".","5.6",".","5.6","11.1"
"699","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Special Proj&Prob","Course Total","","6","3.929","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"742
Facilitating Adult Learning","001","","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"749
Teaching-Learning: Adult Ed","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"750
Eval-Cont Education Progrms","001","","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Smr-Continuing & Vocat Educ","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","9","",".",".",".",".",".",".",".","33.3","11.1",".",".","55.6",".",".",".","."
"990","074","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","36","",".",".",".",".",".",".",".","66.7","2.8",".",".","30.6",".",".",".","."
