"","775
019","2","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","775
021","1","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","775
026","2","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Externship","Course Total","23","",".",".",".",".",".","",".","",".","100.0",".",".",".","",".","",".",".",".","."
"SURG SCI
938","Dept. Total","1045","3.378","26.3","12.3","18.9","2.4","2.4","",".","",".","37.6",".",".",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"Senior","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"Undergraduates","","3","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"Prof Yr 1","","26","4.000","30.8",".",".",".",".","",".","",".","69.2",".",".",".","",".","",".",".",".","."
"Prof Yr 2","","158","3.416","31.6","27.2","37.3","2.5","1.3","",".","",".",".",".",".",".","",".","",".",".",".","."
"Prof Yr 3","","550","3.144","12.7","15.6","25.3","3.8","4.2","",".","",".","38.4",".",".",".","",".","",".",".",".","."
"Prof Yr 4","","308","4.000","46.8",".",".",".",".","",".","",".","53.2",".",".",".","",".","",".",".",".","."
"Professionals","","1042","3.375","26.1","12.4","19.0","2.4","2.4","",".","",".","37.7",".",".",".","",".","",".",".",".","."
"","Dept. Total","1045","3.378","26.3","12.3","18.9","2.4","2.4","",".","",".","37.6",".",".",".","",".","",".",".",".","."
