"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"RELIGIOUS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","",""
"The Bible in English Tradition","151","001","79","3.145","13.9","30.4","34.2","10.1","6.3",".","1.3","3.8",".",".",".",".",".",".",".","."
"","200","001","17","3.315","11.8","41.2","35.3","5.9",".",".",".",".",".",".",".",".",".","5.9",".","."
"","200","002","33","3.433","30.3","39.4","21.2","3.0","6.1",".",".",".",".",".",".",".",".",".",".","."
"Intro Topics in Relig St (H)","","Course Total","50","3.397","24.0","40.0","26.0","4.0","4.0",".",".",".",".",".",".",".",".","2.0",".","."
"Westrn Relig&Intellect Hist","208","001","14","3.357","14.3","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genres-Westrn Relig Writing","234","001","42","3.143","23.8","28.6","28.6","9.5","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"Religion-Hist&Culture: East","273","001","43","3.171","23.3","34.9","16.3","11.6","2.3","4.7","2.3","4.7",".",".",".",".",".",".",".","."
"Classical Rabbinic Lit in Tran","328","001","12","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prophets of the Bible","332","001","55","3.510","50.9","23.6","12.7",".","3.6",".","3.6","3.6",".",".",".",".",".",".","1.8","."
"Anthropology of Religion","343","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Taoism","350","001","50","3.133","16.0","18.0","28.0","18.0","6.0",".",".","10.0","2.0",".",".",".","2.0",".",".","."
"Religions-Ancient Near East","351","001","19","2.778","15.8","10.5","26.3","21.1","15.8",".","5.3",".","5.3",".",".",".",".",".",".","."
"Introduction to Buddhism","364","001","125","3.077","9.6","30.4","35.2","7.2","2.4",".","4.0","9.6",".",".",".",".",".","1.6",".","."
"Ethnic & Minorty Relig-Amer","369","001","34","2.952","11.8","20.6","23.5","17.6","17.6",".",".","8.8",".",".",".",".",".",".",".","."
"Jews of Central&Eastern Europe","372","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","002","8","3.313","25.0","37.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Topics in Relig St-Humanities","","Course Total","12","3.375","25.0","41.7","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Buddhist Iconography","423","001","7","3.000",".","28.6","14.3",".","14.3",".",".","42.9",".",".",".",".",".",".",".","."
"Milton","434","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Islamic Hist:Orig-Ottoman Empr","439","001","6","3.425","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Goddesses & Feminine Powers","464","001","27","3.292","22.2","33.3","14.8","11.1","7.4",".",".","11.1",".",".",".",".",".",".",".","."
"Philosophy of Religion","501","001","7","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Structrs-Muslim Society","614","001","6","2.600",".",".","33.3","33.3","16.7",".",".","16.7",".",".",".",".",".",".",".","."
"Sociology of Religion","615","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Prob&Meth-Study of Religion","616","001","10","3.400","60.0","20.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Studies-S Asian Religions","620","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cross-Cultrl Spread-Wld Relig","622","001","6","3.765","66.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"","699","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Indo-Tibet Buddhst Doctrine","864","001","6","3.692","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
