"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"","100
001","","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
100","","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
100","","14","3.654","42.9","35.7","14.3",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"","004
100","","12","3.250","33.3","50.0",".",".","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"","005
100","","19","3.763","63.2","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","","10","3.300","30.0","10.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","89","3.665","58.4","24.7","12.4","1.1","1.1",".","1.1",".",".",".",".",".",".","1.1",".","."
"Sci&Technology Newswriting","111
001","","20","3.336","50.0","5.0","25.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"Family & Consumer Newswrtg","130
001","","16","3.438","31.3","50.0","6.3",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Reporting","001
204","","15","3.607","33.3","46.7","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","212
001","","18","3.824","77.8",".","16.7",".",".",".",".",".",".",".",".",".",".","5.6",".","."
"","002
212","","19","3.083","10.5","47.4","10.5","10.5","10.5","5.3",".",".",".",".",".",".",".",".","5.3","."
"","212
005","","9","2.944",".","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","","46","3.341","34.8","23.9","19.6","10.9","4.3","2.2",".",".",".",".",".",".",".","2.2","2.2","."
"Informational Photography","260
001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
029","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
031","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Feature Writing","320
001","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family & Consumer Features","330
001","","19","3.263","26.3","31.6","21.1","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","340
001","","16","3.625","43.8","37.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Radio","360
001","","20","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Retrieval-Ag&Life Sci","367
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
001","","18","3.915","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
004","","16","3.863","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","38","3.852","76.3","21.1","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
04","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
078","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","9","3.862","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Publications Editing","505
001","","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","515
001","","21","3.762","66.7","19.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","515
002","","17","3.735","64.7","23.5","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","Course Total","","38","3.750","65.8","21.1","10.5","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","530
001","","17","3.559","29.4","52.9","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Communication-Info Age","617
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Tech in Comm Research","660
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
