"","990
029","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
030","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
031","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","30","",".",".",".",".",".",".",".","86.7",".",".",".","13.3",".",".",".","."
"ATM OCN
640","Dept. Total","841","3.047","27.0","15.3","21.5","14.4","10.5","3.2","1.5","4.6",".","0.6",".","0.5","0.1","0.4","0.2","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","",""
"Freshmen","","191","2.797","15.7","10.5","24.6","25.1","16.2","5.2","1.6",".",".",".",".",".",".","0.5","0.5","."
"Sophomore","","217","3.057","21.2","22.1","24.9","16.1","11.5","1.8","1.8",".",".",".",".",".",".","0.5",".","."
"Junior","","114","2.986","28.1","15.8","21.9","12.3","14.0","2.6","3.5","0.9",".","0.9",".",".",".",".",".","."
"Senior","","194","3.102","32.5","14.9","19.6","11.3","8.2","4.1","1.0","6.2",".","1.0",".",".","0.5","0.5",".","."
"Undergraduates","","716","2.981","23.9","16.1","22.9","16.6","12.3","3.5","1.8","1.8",".","0.4",".",".","0.1","0.4","0.1","."
"Special","","8","3.200","25.0",".","50.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5","."
"Graduate","","117","3.667","46.2","12.0","11.1","0.9",".","1.7",".","22.2",".","1.7",".","3.4",".",".",".","0.9"
"","Dept. Total","841","3.047","27.0","15.3","21.5","14.4","10.5","3.2","1.5","4.6",".","0.6",".","0.5","0.1","0.4","0.2","0.1"
