"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"","101
001","","11","3.500","36.4","27.3","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","","10","3.650","70.0",".","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","21","3.571","52.4","14.3","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","102
001","","11","3.182","9.1","27.3","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","002
102","","11","3.364","27.3","36.4","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","22","3.273","18.2","31.8","40.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","103
001","","10","3.500","20.0","40.0","20.0",".",".",".",".","10.0",".",".",".",".","10.0",".",".","."
"","103
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Class Piano","Course Total","","14","3.542","21.4","50.0","14.3",".",".",".",".","7.1",".",".",".",".","7.1",".",".","."
"","104
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","104
002","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Class Piano","Course Total","","12","3.417","41.7","50.0",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Fundamentals: Double Reeds","001
12","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Year Composition","148
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundamentals-High Brass","18
001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
003","","10","3.783","70.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","201
008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
047","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
250","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
251","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
252","","6","3.538","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","201
253","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","254
201","","6","3.750","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","49","3.769","73.5","12.2","6.1","8.2",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intermed Harpsichard","202
042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Organ","203
042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
045","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
061","","6","3.719","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
062","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
269","","9","3.611","55.6","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","32","3.842","78.1","15.6","3.1","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Flute","207
010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Oboe","209
059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Clarinet","211
005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Element/Intermed Saxophone","213
050","","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Bassoon","215
032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Horn","217
020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Trumpet","219
063","","6","3.583","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Trombone","221
089","","7","3.750","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Euphonium","223
035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 261 of 385",""
