"FOOD SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","","",""
"","120","001","","146","3.090","13.0","34.9","26.7","14.4","6.8","2.7","0.7",".",".",".",".",".",".","0.7",".","."
"","120","002","","282","3.136","18.8","29.8","24.5","16.3","7.4","1.8","0.4","0.7",".",".",".",".",".","0.4",".","."
"","120","003","","271","3.004","12.2","25.8","32.5","15.5","5.9","4.4","0.7","2.2","0.4",".",".",".",".",".",".","0.4"
"Science of Food","","Course Total","","699","3.076","15.0","29.3","28.0","15.6","6.7","3.0","0.6","1.1","0.1",".",".",".",".","0.3",".","0.1"
"Nature of Food","235","001","","76","3.178","34.2","11.8","30.3","7.9","14.5",".","1.3",".",".",".",".",".",".",".",".","."
"","236","001","","14","3.821","78.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","236","003","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nature of Food - Laboratory","","Course Total","","27","3.870","81.5","11.1","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","028","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","7","3.778","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Meat Sci & Technology","305","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Food Laws and Regulations","321","001","","54","3.185","27.8","14.8","27.8","25.9","3.7",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Food Chemistry I","410","001","","30","3.133","23.3","26.7","16.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"Markt Milk,Butter&Spec Prod","415","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat-Food Indst Qual Contrl","464","001","","8","3.063","12.5","25.0","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Food Chemistry II","514","001","","15","2.900","6.7","26.7","26.7","20.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Food Processing II","532","001","","28","2.857","14.3","7.1","35.7","21.4","21.4",".",".",".",".",".",".",".",".",".",".","."
"Org&Mgmt-Nutritn&Food Serv","537","001","","41","3.063","7.3","14.6","58.5","17.1",".",".",".","2.4",".",".",".",".",".",".",".","."
"Org & Mgmt of Food Services","539","001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Food Engineering Operations","542","001","","16","2.969","25.0","6.3","25.0","25.0","18.8",".",".",".",".",".",".",".",".",".",".","."
"Food Fermentations","550","001","","9","3.111","33.3",".","44.4",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"Food Process Engineering","565","001","","6","3.500","33.3","16.7","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Prof Practice in Food Sci","600","001","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Career Orientation","601","001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Adv Microbiol/Food Pathgens","650","001","","8","3.188","25.0","12.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","6","3.882","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Flavors","714","001","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","799","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Food Sci Teaching","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Seminar Advanced","900","001","","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
