"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","102
001","20","3.325","25.0","35.0","25.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","102
002","23","3.364","21.7","43.5","17.4","8.7","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"","102
003","22","3.227","22.7","45.5","22.7",".",".","4.5","4.5",".",".",".",".",".",".",".",".","."
"","004
102","24","3.370","29.2","37.5","16.7","8.3",".","4.2",".","4.2",".",".",".",".",".",".",".","."
"","102
005","23","3.587","43.5","39.1","8.7","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","18","3.694","55.6","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Two-Dimensional Design","Course Total","130","3.422","32.3","38.5","17.7","6.2","1.5","1.5","0.8","1.5",".",".",".",".",".",".",".","."
"","104
001","25","3.400","16.0","56.0","20.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"","104
002","25","3.250","4.0","48.0","36.0","8.0",".",".",".",".",".",".",".",".",".","4.0",".","."
"","104
003","23","3.318","21.7","30.4","30.4","13.0",".",".",".",".",".",".",".",".",".","4.3",".","."
"","104
004","25","3.500","24.0","60.0","12.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","104
005","16","3.333","43.8","25.0","12.5",".","6.3",".","6.3",".",".",".",".",".","6.3",".",".","."
"Three-Dimensional Design","Course Total","114","3.365","20.2","45.6","22.8","6.1","1.8",".","0.9",".",".",".",".",".","0.9","1.8",".","."
"","112
001","23","3.304","34.8","26.1","17.4","8.7","13.0",".",".",".",".",".",".",".",".",".",".","."
"","112
002","23","3.100","26.1","13.0","26.1","13.0",".","8.7",".","13.0",".",".",".",".",".",".",".","."
"","112
003","25","3.400","36.0","44.0","8.0","4.0","4.0",".","4.0",".",".",".",".",".",".",".",".","."
"","112
004","27","3.593","40.7","44.4","11.1",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","005
112","22","3.500","40.9","13.6","40.9",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","112
006","25","3.391","36.0","24.0","16.0","8.0","8.0",".",".","4.0",".",".",".",".",".",".",".","4.0"
"","007
112","22","3.409","18.2","45.5","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
008","24","3.326","20.8","25.0","45.8","4.2",".",".",".",".",".",".",".",".",".","4.2",".","."
"Drawing I","Course Total","191","3.386","31.9","29.8","24.6","4.7","3.7","1.0","0.5","2.6",".",".",".",".",".","0.5",".","0.5"
"Current Directions in Art","001
208","196","3.646","64.3","17.9","7.7","5.6","3.1",".","1.0",".",".",".",".",".",".","0.5",".","."
"","212
001","25","3.320","20.0","52.0","16.0","4.0","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"","212
002","27","3.407","11.1","63.0","22.2","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","212
003","25","3.600","44.0","36.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","004
212","22","3.429","27.3","40.9","18.2","4.5","4.5",".",".",".",".",".",".",".",".","4.5",".","."
"Drawing II","Course Total","99","3.439","25.3","48.5","18.2","4.0","2.0","1.0",".",".",".",".",".",".",".","1.0",".","."
"","214
001","15","3.400","26.7","40.0","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","214
002","15","3.643","40.0","40.0","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","214
003","17","3.559","23.5","64.7","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture I","Course Total","47","3.533","29.8","48.9","17.0",".","2.1",".",".","2.1",".",".",".",".",".",".",".","."
"","222
001","18","3.875","77.8","5.6",".","5.6",".",".",".",".",".",".",".",".",".","11.1",".","."
"","222
002","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
003","15","3.433","40.0","20.0","33.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","222
004","19","3.667","42.1","42.1","10.5",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Introduction to Painting","Course Total","75","3.771","68.0","16.0","9.3","1.3","1.3",".",".","1.3",".",".",".",".",".","2.7",".","."
"","224
001","16","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
002","20","3.711","55.0","25.0","15.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","224
003","17","3.706","64.7","11.8","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","53","3.702","56.6","24.5","17.0",".",".",".",".","1.9",".",".",".",".",".",".",".","."
"Textile Design: Off-Loom","226
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","232
001","10","3.250","10.0","30.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","232
002","8","2.938","37.5",".","12.5","12.5","37.5",".",".",".",".",".",".",".",".",".",".","."
"","003
232","12","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 73 of 385"
