"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","239","2.725","13.8","18.8","16.3","14.2","31.0","3.8","1.7",".",".",".",".",".",".",".","0.4","."
"132","002","","215","2.568","7.9","16.7","19.5","12.1","34.4","6.5","1.9","0.5",".",".",".",".",".",".","0.5","."
"Nutrition Today","Course Total","","454","2.651","11.0","17.8","17.8","13.2","32.6","5.1","1.8","0.2",".",".",".",".",".",".","0.4","."
"289
Honors Independent Study","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299
Independent Study","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"332
Human Nutritional Needs","001","","76","2.919","27.6","10.5","25.0","5.3","21.1","6.6","1.3","2.6",".",".",".",".",".",".",".","."
"350
World Hunger & Malnutrition","001","","75","3.931","86.7","6.7","1.3","1.3",".",".",".","1.3",".",".",".",".","1.3",".","1.3","."
"399","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","3","***","","","","","","","","","","","","","","","",""
"431
Nutrition in the Life Span","001","","54","2.944","14.8","16.7","24.1","35.2","7.4","1.9",".",".",".",".",".",".",".",".",".","."
"434
Nutri-Life Span(Affiliatn)","001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"499
Capstone in Nutrition","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"520","001","","15","3.100","13.3","20.0","46.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"520","002","","17","3.588","41.2","47.1",".","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Applications-Clin Nutrition","Course Total","","32","3.359","28.1","34.4","21.9","12.5","3.1",".",".",".",".",".",".",".",".",".",".","."
"540
Commun Nutr Prgms&Polcy-US","001","","14","3.577","57.1",".","28.6","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"672
Herbl, Homeopthy&Diet Supplmnt","001","","7","3.214","57.1","14.3","14.3",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691
Senior Thesis-Nutrition","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3"
"799
Pract-Nutri Sciences Tchg","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","6","3.083",".","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","11","3.452","9.1","45.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"881
Smr-Human&Clinicl Nutrition","001","","10","3.722","40.0","50.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","19","4.000","10.5",".",".",".",".",".",".","89.5",".",".",".",".",".",".",".","."
"991","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 35 of 385"
