"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","090","","12","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"990","094","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","097","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","102","",".",".",".",".",".",".",".","61.8",".",".",".","37.3",".",".","1.0","."
"992
Rsch:Trainee Pol, Cult, Soc","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"993
Research:Soc of Econ Chnge","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"994
Colloq - Critical Sociology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"995
Rsch: Methodology Trainees","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"997
Rsch-Demogrphy&Ecol Trainee","001","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","081","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research","Course Total","","10","4.000","40.0",".",".",".",".",".",".","50.0",".",".",".",".","10.0",".",".","."
