"JOURN AND MASS COMMUNICA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Intro to Mass Communication","201","001","331","3.323","22.4","31.4","37.8","4.2","3.0",".","0.3","0.3",".",".",".",".",".","0.3","0.3","."
"Mass Communication Practices","202","001","96","3.375","18.8","40.6","38.5","1.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"","335","001","14","3.357","28.6","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","335","002","8","3.063",".","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Reporting","","Course Total","22","3.250","18.2","27.3","40.9","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Strategic Com","345","002","57","3.491","38.6","29.8","22.8","8.8",".",".",".",".",".",".",".",".",".",".",".","."
"In-Depth Reporting","401","001","14","3.429","28.6","35.7","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Nonfiction","405","001","16","3.750","62.5","31.3",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Multimedia Graphics&Community","411","001","15","3.821","66.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"Science & Envir Journalism","415","001","16","3.281","18.8","37.5","31.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Electronc News-Web & Broadcast","419","001","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","515","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Survey Research","544","001","19","3.474","26.3","42.1","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law of Mass Communication","559","001","91","2.549","11.0","9.9","27.5","18.7","16.5","14.3","2.2",".",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560","001","80","3.227","22.5","22.5","32.5","13.8","5.0",".",".",".",".",".",".",".",".","3.8",".","."
"Mass Communication&Society","561","001","66","3.346","25.8","30.3","36.4","4.5",".",".","1.5",".",".",".",".",".",".",".","1.5","."
"History of Books&Printing","570","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Communicatn&Public Opinion","614","001","52","3.154","19.2","15.4","44.2","19.2","1.9",".",".",".",".",".",".",".",".",".",".","."
"Hlth Communication-Info Age","617","001","9","3.444","22.2","55.6","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Com-Developing Nations","621","001","20","3.400","20.0","45.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and the Consumer","646","001","122","3.319","24.6","30.3","30.3","9.0","4.1",".",".","0.8",".",".",".",".",".","0.8",".","."
"Mass Media and Minorities","662","001","22","3.523","36.4","40.9","13.6","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","676","001","19","3.763","73.7","5.3","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676","036","8","3.714","37.5","50.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","676","081","45","3.456","17.8","55.6","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676","082","12","3.542","25.0","58.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676","084","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676","085","40","3.488","35.0","40.0","15.0","7.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"","676","086","27","3.389","29.6","37.0","14.8","18.5",".",".",".",".",".",".",".",".",".",".",".","."
"","676","088","15","3.500","26.7","46.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","","Course Total","185","3.543","36.8","40.0","17.8","4.3","0.5",".",".",".",".",".",".",".","0.5",".",".","."
"Senior Thesis","692","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","042","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","096","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Directed Study","698","093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","115","3.364","27.0","31.3","28.7","8.7","3.5",".",".",".",".",".",".",".",".",".","0.9","."
"","699","006","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
