"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"Introduction to Business","100
001","293","3.048","8.9","29.4","34.5","15.7","10.2","0.3",".","0.3",".","0.3",".",".","0.3",".",".","."
"Directed Study","198
201","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","300
001","20","3.575","20.0","75.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","16","3.719","62.5","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","18","3.583","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","23","3.478","8.7","78.3","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
005","18","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
006","21","3.667","47.6","38.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
300","22","3.843","68.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
008","25","3.520","28.0","52.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","300
009","24","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
300","22","3.659","40.9","50.0","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
300","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
300","21","3.669","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
013","20","3.645","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
014","21","3.594","23.8","71.4","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Communication","Course Total","297","3.663","40.7","51.9","6.7","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"","001
301","238","3.027","23.5","12.6","32.4","11.3","18.9","1.3",".",".",".",".",".",".",".",".",".","."
"","002
301","260","2.944","17.3","16.2","30.8","10.4","24.6",".","0.4","0.4",".",".",".",".",".",".",".","."
"Business Law","Course Total","498","2.984","20.3","14.5","31.5","10.8","21.9","0.6","0.2","0.2",".",".",".",".",".",".",".","."
"","302
001","32","3.387","34.4","28.1","15.6","15.6","3.1",".",".","3.1",".",".",".",".",".",".",".","."
"","302
002","31","3.161","22.6","12.9","45.2","12.9","6.5",".",".",".",".",".",".",".",".",".",".","."
"Business Law","Course Total","63","3.274","28.6","20.6","30.2","14.3","4.8",".",".","1.6",".",".",".",".",".",".",".","."
"","303
001","128","3.141","11.7","33.6","39.1","7.0","6.3","2.3",".",".",".",".",".",".",".",".",".","."
"","002
303","134","3.000","14.9","20.1","38.1","17.2","5.2","2.2","2.2",".",".",".",".",".",".",".",".","."
"Business Statistics","Course Total","262","3.069","13.4","26.7","38.5","12.2","5.7","2.3","1.1",".",".",".",".",".",".",".",".","."
"","001
304","87","3.397","40.2","14.9","34.5","6.9","2.3","1.1",".",".",".",".",".",".",".",".",".","."
"","002
304","82","3.561","51.2","24.4","17.1","2.4","3.7","1.2",".",".",".",".",".",".",".",".",".","."
"Intermediate Bus Statistics","Course Total","169","3.476","45.6","19.5","26.0","4.7","3.0","1.2",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","8","3.600","12.5","50.0",".",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"","399
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
201","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Business Rsch","Course Total","11","3.885","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Experience in Business","450
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","700
001","14","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
700","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
003","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
004","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Communication","Course Total","50","3.720","50.0","44.0","6.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
001","31","4.000","96.8",".",".",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"","701
002","39","3.949","89.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Legal Environment","Course Total","70","3.971","92.9","5.7",".",".",".",".",".",".",".",".",".",".","1.4",".",".","."
"Data Analysis for Managers","704
001","38","3.750","68.4","15.8","13.2","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","710
002","42","3.655","45.2","45.2","7.1",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 49 of 385"
