"PORTUGUESE (SPANISH & POR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","",""
"","102
001","","13","3.115","38.5","15.4","15.4","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"","002
102","","23","2.739","26.1","4.3","26.1","4.3","30.4","4.3","4.3",".",".",".",".",".",".",".",".","."
"","003
102","","23","2.909","26.1","13.0","4.3","30.4","17.4","4.3",".","4.3",".",".",".",".",".",".",".","."
"","102
004","","23","3.326","39.1","17.4","26.1","4.3","13.0",".",".",".",".",".",".",".",".",".",".","."
"2nd Semester Portuguese","Course Total","","82","3.012","31.7","12.2","18.3","12.2","19.5","3.7","1.2","1.2",".",".",".",".",".",".",".","."
"4th Semester Portuguese","202
001","","9","3.111","44.4",".","33.3",".","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"3rd Yr Conversatn&Compositn","226
001","","9","3.579","66.7","11.1",".","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"4th Yr Compositn&Conversatn","312
001","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Brazl Lit since 1890","468
001","","12","3.455","41.7","8.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3","."
"Topics in Luso-Braziln Lit","640
001","","8","3.725","62.5","12.5",".",".","12.5",".",".",".",".",".",".",".","12.5",".",".","."
"Directed Study","699
032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
