"COMMUNICATIVE DISORDERS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis","110","001","293","3.729","66.2","18.4","11.9","2.0","0.7",".","0.3","0.3",".",".",".",".",".",".",".","."
"Introduction to Phonetics","200","001","40","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Speech Science","201","001","30","3.052","23.3","10.0","30.0","20.0","13.3",".",".","3.3",".",".",".",".",".",".",".","."
"Normal Aspects of Hearing","202","001","25","3.080","16.0","28.0","28.0","12.0","16.0",".",".",".",".",".",".",".",".",".",".","."
"Speech & Lang Functs-Brain","210","001","44","3.193","25.0","29.5","22.7","9.1","11.4","2.3",".",".",".",".",".",".",".",".",".","."
"Lang Devlp-Chld & Adolescnt","240","001","114","2.788","10.5","15.8","29.8","15.8","23.7","2.6","0.9",".",".",".",".",".","0.9",".",".","."
"Speech Pathology II","318","001","55","3.417","23.6","47.3","16.4","9.1","1.8",".",".","1.8",".",".",".",".",".",".",".","."
"Introduction to Audiology","320","001","44","3.193","18.2","34.1","27.3","13.6","4.5","2.3",".",".",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults","371","001","25","3.840","72.0","24.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","390","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","390","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Comm Disorders","","Course Total","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Auditory Rehabilitation","425","001","75","3.007","14.7","24.0","30.7","14.7","13.3","2.7",".",".",".",".",".",".",".",".",".","."
"Manual Coded English-SL II","434","002","16","3.781","68.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Language Disorders","440","001","64","3.254","20.3","23.4","43.8","7.8","3.1",".",".","1.6",".",".",".",".",".",".",".","."
"Topics in Com Dis","455","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Lang&Learn Disordrs-Childrn","640","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Practicum in Com Dis","692","001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".","8.3",".",".",".","."
"Audiol-Speech/Lang Pathlgst","700","001","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dysarthria","711","001","34","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgt&Assessmt-Voice Disorder","717","001","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","004","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","007","23","3.904","87.0","8.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","790","008","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","009","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","010","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 186 of 385",""
