"","ATMOSPHERIC & OCEANIC SCIE Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"Weather and Climate","100","001","244","2.783","14.8","14.8","23.0","22.1","16.4","6.1","1.2","1.2",".",".",".",".","0.4",".",".","."
"Weather and Climate","101","001","137","3.126","20.4","21.9","28.5","21.9","4.4","0.7","0.7","1.5",".",".",".",".",".",".",".","."
"Survey of Oceanography","105","001","43","2.478","14.0","16.3","16.3","18.6","11.6","9.3","11.6",".",".",".",".",".",".",".","2.3","."
"Atmspherc Envirnmnt&Society","121","001","87","2.904","18.4","16.1","19.5","18.4","20.7","1.1","1.1","4.6",".",".",".",".",".",".",".","."
"Earth Water:Nat Sci&Hum Use","132","001","18","3.265","33.3","16.7","33.3",".","5.6","5.6",".",".",".",".",".",".",".","5.6",".","."
"","152","001","20","3.028","45.0",".","25.0","5.0",".","5.0","10.0",".",".",".",".",".",".","5.0","5.0","."
"","152","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Weather for Pilots","","Course Total","21","3.026","42.9",".","28.6","4.8",".","4.8","9.5",".",".",".",".",".",".","4.8","4.8","."
"Global Chg: Atmospheric Iss","171","001","53","3.245","39.6","9.4","28.3","7.5","7.5","1.9","1.9","3.8",".",".",".",".",".",".",".","."
"Dynamic-Atmosphere&Ocean II","311","001","19","2.816","26.3","5.3","21.1","10.5","31.6","5.3",".",".",".",".",".",".",".",".",".","."
"Physics-Atmosphere&Ocean II","340","001","19","2.868","21.1","15.8","15.8","10.5","36.8",".",".",".",".",".",".",".",".",".",".","."
"Topics in Meteorology","401","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"AOS Senior Capstone Seminar","405","001","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Syn Lab II-Mesoscale Meteor","453","001","23","3.283","26.1","26.1","30.4","13.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"Num Technique-Weather Predictn","471","001","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sci Bckgrnd-Globl Envr Prob","472","001","12","3.629","41.7","25.0","16.7",".",".",".",".","8.3",".",".",".",".",".","8.3",".","."
"Past Climates&Climatic Chg","528","001","18","3.853","66.7","27.8",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Global Climates","531","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Probs-Atmospheric &Oceanic Sci","","Course Total","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geophys Fluid Dynamics II","611","001","7","3.214","42.9","14.3","28.6",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"Cloud Physics","637","001","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radiatn in Atmosphere&Ocean","640","001","12","3.409","50.0","16.7","8.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".","8.3"
"Analysis of Atmospheric Sys","650","001","8","3.625","62.5",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Directed Study","698","029","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","6","3.813","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Theoretical Meteor","801","001","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Meteorology","900","001","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Ph.D. Rsch Presentatns","907","001","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professnal Perspectives Smr","930","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 252 of 385",""
