"PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"695","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"695","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"695","024","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","040","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","060","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Probs-Clinical Psychology","Course Total","","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","007","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"697","014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"697","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"697","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","029","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","034","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems in Human Behavior","Course Total","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Prosmr-Experimental Psych","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"703
Prosmr in Social Psychology","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"704
Proseminar-Clinical Psych","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"706
Prosmr-Developmental Psych","001","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"707
Proseminar-Biological Psych","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"710
Dsgn&Anal-Psych Experiments","001","","18","3.433","38.9",".","38.9","5.6",".",".",".","16.7",".",".",".",".",".",".",".","."
"711
Current Topics in Psych","001","","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"733","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"733","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Perceptual&Cognitive Sciences","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"740
Clin I: Assmnt, Etiol&Trtmt","001","","16","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"741
Clin II:Assmnt, Etiol&Trtmt","001","","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","3","***","","","","","","","","","","","","","","","",""
"805
Field Work-Clinical Psych","001","","18","3.842","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"859","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"859","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Human Factors Engr","Course Total","","2","***","","","","","","","","","","","","","","","",""
"930","001","","6","3.559","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"930","002","","8","3.804","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 281 of 385",""
