"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"901","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr: Topics in Current Soc","Course Total","","15","4.000","33.3",".",".",".",".",".",".","60.0",".",".",".",".","6.7",".",".","."
"915
Seminar-Sociological Theory","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"918
Smr-Compr Soc/Contemp Capitlsm","001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"922
Smr-Race & Ethnic Relations","001","","11","3.938","63.6","9.1",".",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"927
Smr: Soc-Contemp Institutn","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"940
Smr: Sociol-Econ Change","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"952
Math&Stat Applications-Soc","001","","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"955
Smr-Qualitative Methodology","001","","9","3.813","55.6","33.3",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"977
Seminar-Human Ecology","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"983
Rsch:Economic Sociology Wrkshp","001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"984
Rsch:Smr-Sociol of Gender","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"985
Rsch:Sci,Tech,Ag,Rscs&Envir","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"987
Rsch: Race & Ethnic Studies","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"988
Deviance/Law/Social Control","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","9","",".",".",".",".",".",".",".","11.1",".",".",".","88.9",".",".",".","."
"990","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 295 of 385",""
