"BUS","","","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","","","",""
"","799","120","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","131","","38","3.932","97.4",".","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","","Course Total","","42","3.943","97.6",".","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics-Marketing Rsch","810","002","","25","3.720","60.0","24.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Marketing PhD","972","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Marketing","990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng & Rsch-Marketing PhD","999","038","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"MARKETNG
237","","Dept. Total","","1726","3.392","29.5","34.1","25.6","8.1","1.6","0.4","0.1","0.5",".",".",".","0.1","0.1","0.1",".","."
