"CIVIL AND ENVIRONMENTAL EN Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","",""
"790","057","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","058","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","062","","7","",".",".",".",".",".",".",".","57.1",".",".",".","42.9",".",".",".","."
"790","063","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","064","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","066","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","067","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","75","",".",".",".",".",".",".",".","50.7","1.3",".",".","45.3","2.7",".",".","."
"822
Envr Engr:Phy/Chem Treatmnt","001","","15","3.500","26.7","40.0","26.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"890","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","051","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","053","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","054","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","055","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","057","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","062","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","59","",".",".",".",".",".",".",".","57.6","1.7",".",".","39.0",".",".","1.7","."
"909
Smr-Water Chemistry Rsch","001","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"911
Oceanography&Limnology Smr","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919
Hydraulic Engr & Fluid Mech","001","","9","3.800","33.3","22.2",".",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"929
Seminar-Envir Engineering","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"939
Smr-Geotechnical Engr","001","","23","3.652","52.2","26.1","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"949
Smr-Structural Engineering","001","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"950
Envr Monitoring Seminar","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"951
Smr-Survey & Photogrammetry","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
